"","log2FC","padj"
"AT1G01010",-0.390131444285347,0.00123665195991459
"AT1G01320",0.354961868686014,0.0395983787003578
"AT1G01640",-0.614048676370521,0.00785892774043108
"AT1G01720",0.26780588130249,0.0262487403299581
"AT1G02310",-0.254329849880918,0.0159800570904221
"AT1G02340",0.888698620035105,0.0116195934309967
"AT1G02360",-0.413558023862261,0.00344899701088574
"AT1G02400",-0.473334063710697,5.52553023708264e-08
"AT1G02500",-0.540774649243933,0.000729637473390852
"AT1G02530",0.658452223009594,0.038176875541125
"AT1G02540",1.06323472262904,0.0040679900563978
"AT1G02920",-0.418336908466155,0.0111140499800579
"AT1G02930",-0.461187353877266,0.000292834756482921
"AT1G02950",0.981814166879087,0.00884364589551446
"AT1G03040",-0.339337292226118,0.0309719170251306
"AT1G03090",0.240684053063865,0.0167888873372931
"AT1G03230",0.34025673523011,0.0129994772232062
"AT1G03440",0.736815019963565,0.0231889193760244
"AT1G03530",0.42486376570268,0.0229285506012762
"AT1G03590",-0.21916470044659,0.0285459481936161
"AT1G03660",0.991804325958763,0.0011003358051389
"AT1G03790",0.519668566067116,0.0066996027911241
"AT1G03870",0.681379495018689,0.0400166821376105
"AT1G03950",-0.382726813813248,0.0416073486671987
"AT1G04100",-0.459796236577566,0.0459572982904018
"AT1G04160",0.690190906312954,3.18866996438151e-06
"AT1G04280",0.44659220357593,0.0447902255039178
"AT1G04410",-0.348600730247274,0.000634393103387745
"AT1G04710",-0.435180052300942,0.0137096343084634
"AT1G04770",0.617467133884866,0.000898560469352529
"AT1G04850",-0.284910909641718,0.00205723783041752
"AT1G05000",-0.481525371537031,0.00159316232326689
"AT1G05010",-0.526705646903053,7.29985452304325e-07
"AT1G05260",-0.499544761053357,0.0490223372444647
"AT1G05280",1.29153623848438,1.94439364251018e-05
"AT1G05503",0.955040095104703,0.0201366540723884
"AT1G05530",0.827881357583517,0.0388045903304889
"AT1G05560",1.17868934515083,4.61448932820522e-05
"AT1G05680",1.02705052211218,0.000602645862014675
"AT1G05710",-0.41655598597071,0.00181124642381785
"AT1G05870",-0.388411297490644,0.0389378494044144
"AT1G06000",-0.33530052314308,0.00939606506495281
"AT1G06090",0.793755313356406,0.00362111892140941
"AT1G06120",0.763803047381834,0.0130201593972192
"AT1G06490",0.873761445831659,0.00522172420530208
"AT1G06510",0.854081710283665,0.0108839243896936
"AT1G06520",-0.500339876129026,0.00627375916437525
"AT1G06540",-0.626170789811243,0.011350637302635
"AT1G06550",-0.522016053815987,5.08814995976565e-06
"AT1G06720",0.457728103692431,0.000898808525952941
"AT1G06760",0.423307308481727,8.5113279735644e-06
"AT1G06950",0.249112806978943,0.0204288887734624
"AT1G07230",-0.322858042050553,0.0306785916903963
"AT1G07640",0.33966538761873,0.0147791899464733
"AT1G07660",-0.355270245459364,0.0172287682688181
"AT1G07780",0.523552780153227,0.0125195331820091
"AT1G07790",0.475881723975229,0.00227292569698723
"AT1G07970",0.44266944821556,0.00455429181678204
"AT1G07985",0.575371169646708,0.0394282228761816
"AT1G08110",-0.352146366203264,0.00215348319854909
"AT1G08160",0.972537418173539,0.00490588073620603
"AT1G08190",-0.237549372698714,0.0480419263903151
"AT1G08260",-0.434844431464294,0.00264644428151085
"AT1G08270",-0.510360866658903,0.0179956991154447
"AT1G08280",-0.692211844834237,0.00548086803190354
"AT1G08290",-0.808034017418032,2.62196389059225e-14
"AT1G08410",0.328714397744048,0.0404318449801892
"AT1G08430",-0.631708472562029,0.0158315085905089
"AT1G08440",-1.12633727571706,1.20386924966945e-06
"AT1G08450",-0.578096949062817,3.86835295509541e-09
"AT1G08480",-0.328322676453738,0.0369707669620078
"AT1G08830",-0.388806139038857,0.000551626461200486
"AT1G08845",0.430477796864108,0.0444349411263108
"AT1G08875",0.92822811509137,0.00907671293942898
"AT1G09430",-0.570566937694929,1.42252305238414e-06
"AT1G09455",-0.495925625571213,0.0485043664397627
"AT1G09460",-0.568373357627371,0.00324343983133191
"AT1G09515",-0.75952167582574,0.044341311975913
"AT1G09575",-0.468010457285501,0.00153578949022544
"AT1G09590",0.28937624395976,0.0487302313352765
"AT1G09795",0.457266205409913,0.011592242073638
"AT1G09840",-0.36764657529278,0.00511029048646013
"AT1G09960",-0.335573134997551,0.0157216876606852
"AT1G09970",-0.385432528073713,0.00445883303886882
"AT1G10070",0.496569845095753,0.000730991906222562
"AT1G10200",-0.394032761688214,0.021254089503867
"AT1G10220",0.673148123281121,0.025496188118718
"AT1G10270",0.387227142008336,0.0131076434245087
"AT1G10380",-0.646427543102146,0.0324949984796971
"AT1G10650",-0.417320587738328,0.00313970519856463
"AT1G10670",-0.383242821544073,0.0157402402974639
"AT1G10840",0.315484756372766,0.00998891267553272
"AT1G11000",0.83352286284894,2.25729408818795e-05
"AT1G11190",0.570392648782197,0.0166788430521301
"AT1G11210",-0.604962470760333,5.79544114242469e-09
"AT1G11260",-0.305083524877125,0.0183065180955362
"AT1G11330",-0.778105513789968,1.80857473268105e-05
"AT1G11350",0.442435455330205,0.0440617519558165
"AT1G11380",0.411281333188614,0.0430180191178579
"AT1G11482",0.923783663042785,0.0201162729084684
