,log2FC,padj
LOC_Os01g10590,,5.00E-05
LOC_Os01g68640,,0.0001
LOC_Os10g29460,,5.00E-05
LOC_Os11g22650,,0.0001
LOC_Os02g07654,,5.00E-05
LOC_Os02g12470,,5.00E-05
LOC_Os02g26794,,5.00E-05
LOC_Os03g14820,,5.00E-05
LOC_Os04g31710,,5.00E-05
LOC_Os04g42050,,5.00E-05
LOC_Os04g52110,,5.00E-05
LOC_Os05g20550,,0.0001
LOC_Os05g50390,,5.00E-05
LOC_Os06g15430,,5.00E-05
LOC_Os07g26100,,5.00E-05
LOC_Os08g08960,,5.00E-05
LOC_Os09g08450,,5.00E-05
LOC_Os03g53340,10.59817121,5.00E-05
LOC_Os03g02470,9.249167545,0.0058
LOC_Os02g53240,8.233000642,0.00265
LOC_Os02g37480,7.210036236,0.01025
LOC_Os10g26910,7.121478013,0.0104
LOC_Os08g30540,6.93376201,0.0054
LOC_Os07g33450,6.061206174,0.00265
LOC_Os10g26110,6.043131923,0.00265
LOC_Os03g20680,5.929198385,0.00265
LOC_Os07g23660,5.912022284,5.00E-05
LOC_Os05g12040,5.786388951,5.00E-05
LOC_Os05g01140,5.657438442,5.00E-05
LOC_Os07g23640,5.653682428,5.00E-05
LOC_Os12g27254,5.406379669,5.00E-05
LOC_Os04g24804,5.297783684,5.00E-05
LOC_Os08g14950,5.197425853,0.00265
LOC_Os11g10590,5.081784671,0.00265
LOC_Os09g26920,4.977661819,0.00265
LOC_Os08g07090,4.974792402,0.01685
LOC_Os08g33740,4.952222302,5.00E-05
LOC_Os06g12455,4.848631294,5.00E-05
LOC_Os12g27220,4.820343762,5.00E-05
LOC_Os01g72210,4.738474352,0.0002
LOC_Os06g16040,4.708307813,0.00265
LOC_Os03g07270,4.645987776,5.00E-05
LOC_Os12g14440,4.591097789,5.00E-05
LOC_Os08g41880,4.571480514,5.00E-05
LOC_Os06g37150,4.521636096,0.0018
LOC_Os01g58100,4.506321107,5.00E-05
LOC_Os03g61160,4.487420692,5.00E-05
LOC_Os12g43490,4.403377124,0.01685
LOC_Os11g44800,4.382519981,0.00265
LOC_Os09g09540,4.378071609,5.00E-05
LOC_Os06g13720,4.365364237,5.00E-05
LOC_Os01g03680,4.342986157,0.00265
LOC_Os09g31430,4.306741979,5.00E-05
LOC_Os12g13910,4.298811075,5.00E-05
LOC_Os05g06399,4.274042716,0.00085
LOC_Os01g50910,4.232445859,5.00E-05
LOC_Os07g10840,4.227330261,5.00E-05
LOC_Os04g43390,4.174383807,5.00E-05
LOC_Os05g31670,4.17321226,0.00265
LOC_Os06g13470,4.145015707,0.00265
LOC_Os09g37200,4.142400588,5.00E-05
LOC_Os07g48460,4.122807402,5.00E-05
LOC_Os01g53240,4.120882092,5.00E-05
LOC_Os08g07080,4.050529057,5.00E-05
LOC_Os11g26790,4.014442458,5.00E-05
LOC_Os10g30150,3.995024528,5.00E-05
LOC_Os01g38140,3.989905096,0.00265
LOC_Os07g41060,3.987229688,5.00E-05
LOC_Os07g48910,3.976187728,5.00E-05
LOC_Os03g14010,3.9700044,5.00E-05
LOC_Os05g10370,3.962202251,5.00E-05
LOC_Os09g36700,3.957163218,5.00E-05
LOC_Os04g18770,3.936980707,0.00015
LOC_Os10g35070,3.917964147,5.00E-05
LOC_Os09g21919,3.912496341,0.00265
LOC_Os03g54930,3.910114353,0.0059
LOC_Os06g11760,3.886948705,0.0027
LOC_Os01g49750,3.824202297,0.00275
LOC_Os08g35710,3.817164611,0.00285
LOC_Os11g07240,3.802104808,0.001
LOC_Os11g26780,3.76823508,0.00265
LOC_Os02g49986,3.683561725,0.00275
LOC_Os04g46280,3.658754464,5.00E-05
LOC_Os06g44260,3.654044108,5.00E-05
LOC_Os07g02850,3.635734059,0.00335
LOC_Os03g58300,3.626519489,5.00E-05
LOC_Os04g37880,3.61953538,0.0029
LOC_Os05g01330,3.615582975,5.00E-05
LOC_Os08g39860,3.606363262,5.00E-05
LOC_Os12g02470,3.597140864,5.00E-05
LOC_Os02g37770,3.585249886,0.00275
LOC_Os05g46480,3.577159206,5.00E-05
LOC_Os04g46400,3.572356177,0.00385
LOC_Os11g45400,3.571146541,5.00E-05
LOC_Os05g47700,3.569439971,5.00E-05
LOC_Os05g38290,3.543746645,5.00E-05
LOC_Os04g58030,3.538493376,5.00E-05
LOC_Os11g10600,3.514226324,0.0051
LOC_Os03g60340,3.500154063,5.00E-05
LOC_Os03g03810,3.489889765,5.00E-05
