,log2FC,padj
LOC_Os01g33500,,0.00135
LOC_Os03g02470,4.489096114,0.0058
LOC_Os11g36790,4.275254616,5.00E-05
LOC_Os10g11330,3.661692428,5.00E-05
LOC_Os11g28210,3.629783936,0.00025
LOC_Os10g21360,3.381788779,5.00E-05
LOC_Os06g36940,3.354449466,0.0004
LOC_Os05g25880,3.344032752,0.00325
LOC_Os05g44620,3.058656018,5.00E-05
LOC_Os06g15730,3.020617333,5.00E-05
LOC_Os07g03040,3.013492001,5.00E-05
LOC_Os07g30830,2.976562607,5.00E-05
LOC_Os10g10980,2.811014444,5.00E-05
LOC_Os10g26110,2.809713658,0.00835
LOC_Os04g17660,2.786532358,5.00E-05
LOC_Os04g47360,2.650243655,5.00E-05
LOC_Os05g31400,2.524369919,0.01845
LOC_Os01g64730,2.48629978,5.00E-05
LOC_Os10g23090,2.419357949,0.00765
LOC_Os11g28184,2.410971334,5.00E-05
LOC_Os01g64340,2.359798458,5.00E-05
LOC_Os11g08569,2.337128568,0.019
LOC_Os03g19090,2.313455656,0.00025
LOC_Os09g09350,2.294691235,5.00E-05
LOC_Os11g28170,2.25760266,5.00E-05
LOC_Os06g48560,2.186762434,5.00E-05
LOC_Os06g08250,2.159830105,0.0224
LOC_Os04g16770,2.106809672,5.00E-05
LOC_Os12g39930,2.074942017,5.00E-05
LOC_Os10g42850,2.072495186,0.00065
LOC_Os01g64330,2.041476383,5.00E-05
LOC_Os11g31700,2.029494131,0.0002
LOC_Os03g30420,2.005645908,5.00E-05
LOC_Os11g42850,1.946951259,0.0014
LOC_Os04g12499,1.936713485,5.00E-05
LOC_Os03g55030,1.881305747,5.00E-05
LOC_Os01g07170,1.875152494,5.00E-05
LOC_Os05g12630,1.871830663,0.0043
LOC_Os03g37520,1.847244849,0.00025
LOC_Os10g24004,1.826598258,5.00E-05
LOC_Os03g42530,1.800555862,5.00E-05
LOC_Os12g23570,1.794781916,0.0004
LOC_Os07g38790,1.761376735,5.00E-05
LOC_Os11g17380,1.727507654,0.0006
LOC_Os12g09720,1.724143629,0.0196
LOC_Os10g21190,1.721131436,5.00E-05
LOC_Os06g44260,1.719621307,0.00065
LOC_Os01g64350,1.716979238,5.00E-05
LOC_Os02g53130,1.69308839,5.00E-05
LOC_Os04g16722,1.68879588,5.00E-05
LOC_Os06g37010,1.684415106,5.00E-05
LOC_Os08g33740,1.665994078,5.00E-05
LOC_Os09g12290,1.662077512,5.00E-05
LOC_Os11g08020,1.653108108,5.00E-05
LOC_Os11g42200,1.626577895,5.00E-05
LOC_Os09g26670,1.614905009,0.00035
LOC_Os01g09720,1.603678947,0.0084
LOC_Os04g11195,1.596336415,0.0032
LOC_Os04g12530,1.594710539,5.00E-05
LOC_Os09g01000,1.594281067,5.00E-05
LOC_Os11g45060,1.571420206,5.00E-05
LOC_Os12g15680,1.543071333,5.00E-05
LOC_Os09g00999,1.520711035,5.00E-05
LOC_Os05g48700,1.503262473,5.00E-05
LOC_Os01g22780,1.497354279,0.00025
LOC_Os04g32800,1.467186061,5.00E-05
LOC_Os12g33946,1.448890505,0.00475
LOC_Os03g12520,1.44777894,5.00E-05
LOC_Os09g38510,1.438820135,0.0001
LOC_Os07g02540,1.438086721,5.00E-05
LOC_Os09g14700,1.431512743,0.0179
LOC_Os12g27254,1.42878464,5.00E-05
LOC_Os11g43700,1.423805201,5.00E-05
LOC_Os02g39030,1.420677071,5.00E-05
LOC_Os05g31890,1.414547606,5.00E-05
LOC_Os03g36530,1.399848981,0.00175
LOC_Os06g12455,1.393236583,0.00025
LOC_Os09g20220,1.350089828,0.0001
LOC_Os02g47390,1.346946586,5.00E-05
LOC_Os05g06920,1.345585499,5.00E-05
LOC_Os01g45550,1.343645557,5.00E-05
LOC_Os07g10910,1.342930894,0.0157
LOC_Os01g58910,1.340990409,5.00E-05
LOC_Os03g57200,1.334111559,0.00285
LOC_Os02g47810,1.332480783,0.0058
LOC_Os04g21350,1.330032976,5.00E-05
LOC_Os05g11900,1.324024561,5.00E-05
LOC_Os05g11990,1.317788035,5.00E-05
LOC_Os06g37510,1.31591453,0.01155
LOC_Os08g36480,1.297438669,5.00E-05
LOC_Os10g28350,1.295279305,5.00E-05
LOC_Os06g16380,1.290548384,5.00E-05
LOC_Os08g07720,1.279519951,0.0002
LOC_Os05g08480,1.273365085,5.00E-05
LOC_Os01g36580,1.260533388,0.01105
LOC_Os10g14180,1.259244985,5.00E-05
LOC_Os09g34890,1.25421684,0.00045
LOC_Os12g27220,1.233584432,5.00E-05
LOC_Os01g67630,1.228021987,5.00E-05
LOC_Os01g04920,1.220011214,5.00E-05
LOC_Os01g57960,1.202328419,5.00E-05
LOC_Os06g16450,1.198462945,5.00E-05
LOC_Os10g04450,1.193984911,0.01055
LOC_Os01g17330,1.166062309,0.0082
LOC_Os11g29780,1.16221142,0.00025
