,log2FC,padj
LOC_Os07g48000,11.15077676,5.79E-10
LOC_Os03g02470,10.87021727,1.88E-09
LOC_Os03g43100,10.49160386,9.10E-09
LOC_Os06g32550,9.8940998,1.06E-07
LOC_Os03g17410,9.488272653,5.36E-07
LOC_Os10g24170,9.211690445,1.52E-06
LOC_Os06g32600,9.105136491,1.21E-12
LOC_Os09g09210,8.945878872,8.42E-12
LOC_Os04g31400,8.81486995,7.01E-06
LOC_Os07g38200,8.786918388,7.73E-06
LOC_Os07g06834,8.666127581,3.34E-10
LOC_Os07g12260,8.65396791,1.29E-05
LOC_Os06g15430,8.472841475,2.52E-05
LOC_Os05g01610,8.30561457,4.69E-05
LOC_Os04g34170,8.160667653,8.11E-05
LOC_Os12g05040,8.116431075,9.36E-05
LOC_Os05g45170,7.999514616,0.000126293
LOC_Os03g22510,7.974949755,0.000147483
LOC_Os10g41838,7.974949755,0.000147483
LOC_Os12g35470,7.974949755,0.000147483
LOC_Os02g53240,7.92823099,7.40E-09
LOC_Os05g03500,7.898641216,0.000203569
LOC_Os01g45730,7.845430079,0.000240716
LOC_Os06g43304,7.703125399,0.000341383
LOC_Os07g02430,7.703125399,0.000341383
LOC_Os07g15340,7.642025828,0.00040966
LOC_Os07g44250,7.629764222,2.56E-08
LOC_Os01g50200,7.578223755,0.0004943
LOC_Os06g11830,7.578223755,0.0004943
LOC_Os11g05190,7.578223755,0.0004943
LOC_Os11g24484,7.578223755,0.0004943
LOC_Os12g29690,7.578223755,0.0004943
LOC_Os11g41650,7.405161879,0.000900684
LOC_Os08g27870,7.329673026,0.001115132
LOC_Os01g46400,7.290393767,0.001391155
LOC_Os04g43090,7.290393767,0.001391155
LOC_Os05g20150,7.290393767,0.001391155
LOC_Os06g38960,7.290393767,0.001391155
LOC_Os07g44280,7.290393767,0.001391155
LOC_Os01g42440,7.208473629,0.0017497
LOC_Os05g15220,7.208473629,0.0017497
LOC_Os03g59280,7.165700469,0.0017497
LOC_Os02g18650,7.121620319,0.002220049
LOC_Os03g08540,7.121620319,0.002220049
LOC_Os03g14820,7.121620319,0.002220049
LOC_Os05g12710,7.121620319,0.002220049
LOC_Os05g23050,7.121620319,0.002220049
LOC_Os06g39020,7.121620319,0.002220049
LOC_Os04g13000,7.076150779,0.002220049
LOC_Os02g11770,7.029201405,0.002843659
LOC_Os04g58470,7.029201405,0.002843659
LOC_Os12g29710,6.980672624,0.003680029
LOC_Os02g09630,6.93045446,0.003680029
LOC_Os04g41750,6.93045446,0.003680029
LOC_Os05g39990,6.93045446,0.003680029
LOC_Os05g45200,6.93045446,0.003680029
LOC_Os06g13850,6.93045446,0.003680029
LOC_Os03g18779,6.928836138,4.20E-08
LOC_Os02g10590,6.878425036,0.00481584
LOC_Os03g41879,6.878425036,0.00481584
LOC_Os08g35160,6.878425036,0.00481584
LOC_Os10g34150,6.878425036,0.00481584
LOC_Os01g42040,6.824448791,0.00481584
LOC_Os01g46350,6.824448791,0.00481584
LOC_Os02g34360,6.824448791,0.00481584
LOC_Os03g08380,6.824448791,0.00481584
LOC_Os06g05230,6.824448791,0.00481584
LOC_Os06g45780,6.824448791,0.00481584
LOC_Os07g22450,6.824448791,0.00481584
LOC_Os11g30810,6.824448791,0.00481584
LOC_Os02g34370,6.780972852,3.39E-06
LOC_Os03g02430,6.768374352,0.006379424
LOC_Os11g17954,6.768374352,0.006379424
LOC_Os12g29680,6.768374352,0.006379424
LOC_Os11g08610,6.73997097,9.22E-08
LOC_Os01g28089,6.710031974,0.006379424
LOC_Os01g55560,6.710031974,0.006379424
LOC_Os03g12500,6.710031974,0.006379424
LOC_Os05g03400,6.710031974,0.006379424
LOC_Os06g47420,6.710031974,0.006379424
LOC_Os07g46039,6.710031974,0.006379424
LOC_Os07g48370,6.710031974,0.006379424
LOC_Os08g14190,6.710031974,0.006379424
LOC_Os11g37670,6.706773142,1.05E-06
LOC_Os01g65620,6.585753289,0.008564159
LOC_Os02g46180,6.585753289,0.008564159
LOC_Os02g54920,6.585753289,0.008564159
LOC_Os03g12815,6.585753289,0.008564159
LOC_Os03g13640,6.585753289,0.008564159
LOC_Os03g52940,6.585753289,0.008564159
LOC_Os04g05570,6.585753289,0.008564159
LOC_Os04g38042,6.585753289,0.008564159
LOC_Os04g49930,6.585753289,0.008564159
LOC_Os05g33690,6.585753289,0.008564159
LOC_Os07g44370,6.585753289,0.008564159
LOC_Os07g44920,6.585753289,0.008564159
LOC_Os09g20880,6.585753289,0.008564159
LOC_Os11g04600,6.585753289,0.008564159
LOC_Os11g04660,6.585753289,0.008564159
LOC_Os11g22960,6.585753289,0.008564159
LOC_Os06g48200,6.558528017,5.79E-08
LOC_Os04g36580,6.519354146,0.011667115
LOC_Os02g21960,6.449750967,0.011667115
LOC_Os02g43840,6.449750967,0.011667115
LOC_Os03g06980,6.449750967,0.011667115
LOC_Os04g34290,6.449750967,0.011667115
LOC_Os04g58504,6.449750967,0.011667115
LOC_Os05g09640,6.449750967,0.011667115
LOC_Os06g02940,6.449750967,0.011667115
LOC_Os07g20340,6.449750967,0.011667115
LOC_Os07g40300,6.449750967,0.011667115
LOC_Os07g44260,6.449750967,0.011667115
LOC_Os08g13710,6.449750967,0.011667115
LOC_Os08g34700,6.449750967,0.011667115
LOC_Os09g26999,6.449750967,0.011667115
LOC_Os11g38010,6.449750967,0.011667115
LOC_Os12g03630,6.449750967,0.011667115
LOC_Os05g31070,6.37661879,0.016154467
LOC_Os06g50950,6.37661879,0.016154467
LOC_Os11g34590,6.37661879,0.016154467
LOC_Os08g14195,6.374395915,9.77E-09
LOC_Os01g08140,6.299580558,0.016154467
LOC_Os01g37000,6.299580558,0.016154467
LOC_Os01g58550,6.299580558,0.016154467
LOC_Os03g10260,6.299580558,0.016154467
LOC_Os03g61080,6.299580558,0.016154467
LOC_Os04g31550,6.299580558,0.016154467
LOC_Os05g34490,6.299580558,0.016154467
LOC_Os05g38420,6.299580558,0.016154467
LOC_Os08g33154,6.299580558,0.016154467
LOC_Os10g37860,6.299580558,0.016154467
LOC_Os01g11020,6.218195361,0.02277515
LOC_Os01g29690,6.218195361,0.02277515
LOC_Os04g29990,6.218195361,0.02277515
LOC_Os09g28760,6.218195361,0.02277515
LOC_Os11g37140,6.218195361,0.02277515
LOC_Os03g25910,6.131943143,0.02277515
LOC_Os03g41920,6.131943143,0.02277515
LOC_Os04g32810,6.131943143,0.02277515
LOC_Os05g08790,6.131943143,0.02277515
LOC_Os05g38130,6.131943143,0.02277515
LOC_Os06g21369,6.131943143,0.02277515
LOC_Os06g42540,6.131943143,0.02277515
LOC_Os08g10612,6.131943143,0.02277515
LOC_Os09g09540,6.131943143,0.02277515
LOC_Os11g05180,6.131943143,0.02277515
LOC_Os11g17330,6.131943143,0.02277515
LOC_Os11g27030,6.131943143,0.02277515
LOC_Os11g35970,6.131943143,0.02277515
LOC_Os12g15450,6.131943143,0.02277515
LOC_Os01g63870,6.040204551,0.032764251
LOC_Os03g09970,6.040204551,0.032764251
LOC_Os06g18780,6.040204551,0.032764251
LOC_Os06g43150,6.040204551,0.032764251
LOC_Os08g23790,6.040204551,0.032764251
LOC_Os11g10490,6.040204551,0.032764251
LOC_Os09g36700,6.002950774,1.12E-08
LOC_Os01g50020,5.984658004,6.13E-05
LOC_Os02g45520,5.952239493,3.36E-07
LOC_Os01g03180,5.942233928,0.048219086
LOC_Os01g48670,5.942233928,0.048219086
LOC_Os01g57150,5.942233928,0.048219086
LOC_Os01g58450,5.942233928,0.048219086
LOC_Os03g03790,5.942233928,0.048219086
LOC_Os03g04560,5.942233928,0.048219086
LOC_Os03g26010,5.942233928,0.048219086
LOC_Os04g30790,5.942233928,0.048219086
LOC_Os04g59320,5.942233928,0.048219086
LOC_Os05g31720,5.942233928,0.048219086
LOC_Os05g39920,5.942233928,0.048219086
LOC_Os06g16040,5.942233928,0.048219086
LOC_Os06g45690,5.942233928,0.048219086
LOC_Os07g33560,5.942233928,0.048219086
LOC_Os08g22300,5.942233928,0.048219086
LOC_Os09g35940,5.942233928,0.048219086
LOC_Os10g28230,5.942233928,0.048219086
LOC_Os11g14020,5.942233928,0.048219086
LOC_Os11g43320,5.942233928,0.048219086
LOC_Os12g32470,5.942233928,0.048219086
LOC_Os12g38360,5.942233928,0.048219086
LOC_Os06g16640,5.863762551,3.08E-06
LOC_Os04g34500,5.837122443,0.048219086
LOC_Os11g37400,5.837122443,0.048219086
LOC_Os12g34220,5.837122443,0.048219086
LOC_Os12g24050,5.771506405,7.81E-08
LOC_Os03g50670,5.661688993,6.74E-06
LOC_Os04g33900,5.495933001,0.000105985
LOC_Os04g33450,5.446025883,0.000118214
LOC_Os03g53620,5.285026326,0.000210393
LOC_Os04g41640,5.221880175,4.80E-07
LOC_Os03g12730,5.134549475,5.05E-05
LOC_Os07g39750,5.125076886,0.000396951
LOC_Os05g38980,5.123342405,5.05E-05
LOC_Os11g42500,5.086542697,6.13E-07
LOC_Os12g38150,5.075194094,1.06E-06
LOC_Os01g44110,4.982112159,1.55E-05
LOC_Os11g04470,4.968552859,0.0017497
LOC_Os02g14720,4.957544783,5.38E-07
LOC_Os01g46340,4.945157002,0.0006939
LOC_Os03g04710,4.853891402,4.83E-05
LOC_Os11g41770,4.79495268,5.25E-06
LOC_Os03g64230,4.764418835,6.79E-06
LOC_Os07g01370,4.758627537,8.49E-06
LOC_Os07g11150,4.733882754,7.71E-06
LOC_Os05g36210,4.731349482,5.88E-06
LOC_Os05g49320,4.683230936,0.001507645
LOC_Os08g37840,4.624614199,0.001782286
LOC_Os05g36240,4.592020468,6.13E-06
LOC_Os04g09860,4.584528022,0.00481584
LOC_Os04g41050,4.563514629,0.002116575
LOC_Os04g51190,4.563514629,0.002116575
LOC_Os11g34570,4.561151305,7.68E-05
LOC_Os05g12630,4.511091511,9.95E-06
LOC_Os03g10110,4.509431375,1.69E-05
LOC_Os03g37120,4.499712556,0.002525671
LOC_Os05g49450,4.482354443,0.000496089
LOC_Os03g57240,4.46840509,2.18E-05
LOC_Os02g43640,4.446832046,0.000554409
LOC_Os05g12640,4.432957802,0.00365261
LOC_Os01g66720,4.42873738,0.000620821
LOC_Os06g40240,4.399736003,0.000117022
LOC_Os10g29390,4.391852633,0.000696625
LOC_Os01g36064,4.362963756,0.004429481
LOC_Os07g05840,4.355408382,7.91E-06
LOC_Os06g46030,4.334694726,0.000783358
LOC_Os01g29530,4.32665068,0.004429481
LOC_Os05g31600,4.28939994,0.005404101
LOC_Os03g63150,4.283772442,0.000390437
LOC_Os02g12310,4.267313116,1.12E-05
LOC_Os03g08080,4.254781398,0.000997265
LOC_Os06g41720,4.251161826,0.005404101
LOC_Os07g33410,4.242045591,0.000426839
LOC_Os09g32470,4.242045591,0.000426839
LOC_Os11g26010,4.213101053,0.001281795
LOC_Os08g36250,4.211882567,0.006635587
LOC_Os09g25100,4.211882567,0.006635587
ChrSy.fgenesh.gene.54,4.211882567,0.006635587
LOC_Os07g05850,4.201370847,5.79E-05
LOC_Os01g50720,4.191781763,0.000282223
LOC_Os01g29200,4.171503876,0.006635587
LOC_Os09g32560,4.171503876,0.006635587
LOC_Os03g46090,4.170180621,0.001458763
LOC_Os04g25960,4.129962429,0.008203511
LOC_Os08g01514,4.129962429,0.008203511
LOC_Os05g51620,4.124487052,0.000679941
LOC_Os06g21360,4.124487052,0.000679941
LOC_Os11g34610,4.106752953,0.000620821
LOC_Os01g46950,4.093610989,4.18E-05
LOC_Os03g22450,4.061908778,0.000827393
LOC_Os06g04990,4.059659789,0.016154467
LOC_Os05g38680,4.058916749,0.000117132
LOC_Os03g01200,4.056937026,0.001904897
LOC_Os03g49190,4.046938234,6.68E-05
LOC_Os02g53720,4.043109119,0.010215989
LOC_Os10g29110,4.043109119,0.010215989
LOC_Os04g34250,3.997639579,0.010215989
LOC_Os03g55120,3.996492549,0.001013156
LOC_Os01g46940,3.978274591,0.02277515
LOC_Os03g22210,3.962637411,0.001123917
LOC_Os01g62740,3.959472339,0.002516721
LOC_Os01g06920,3.950690206,0.012821408
LOC_Os04g05770,3.950690206,0.012821408
LOC_Os05g25974,3.950690206,0.012821408
LOC_Os08g11100,3.950690206,0.012821408
LOC_Os11g15624,3.950690206,0.012821408
LOC_Os03g21560,3.945883607,4.79E-05
LOC_Os01g45914,3.939498867,0.000185176
LOC_Os11g35540,3.912900416,0.000174751
LOC_Os03g43010,3.908154184,0.003367649
LOC_Os01g45860,3.902161425,0.016225581
LOC_Os07g01214,3.892446281,0.001390333
LOC_Os01g42210,3.892022373,0.02277515
LOC_Os02g06760,3.892022373,0.02277515
LOC_Os09g28530,3.892022373,0.02277515
LOC_Os04g18400,3.887397068,0.000269841
LOC_Os10g37180,3.857623763,0.000148292
LOC_Os01g47130,3.856027116,0.001550588
LOC_Os01g60590,3.85194326,0.016225581
LOC_Os07g47480,3.85194326,0.016225581
LOC_Os11g05010,3.85194326,0.016225581
LOC_Os01g54080,3.842542962,0.000927373
LOC_Os11g27540,3.827582937,0.003915642
LOC_Os02g33380,3.818664729,0.001732606
LOC_Os10g06000,3.799693907,0.004569388
LOC_Os02g45225,3.784960774,0.00110686
LOC_Os03g43510,3.780308961,0.001939802
LOC_Os12g31000,3.779799246,0.000323678
LOC_Os02g43280,3.771255104,0.004569388
LOC_Os12g07180,3.771255104,0.004569388
LOC_Os07g04150,3.745937592,0.020717199
LOC_Os07g28970,3.745937592,0.020717199
LOC_Os09g12720,3.745937592,0.020717199
LOC_Os09g17160,3.745937592,0.020717199
LOC_Os10g04270,3.745937592,0.020717199
LOC_Os10g35500,3.745937592,0.020717199
LOC_Os11g20360,3.745937592,0.020717199
LOC_Os03g04760,3.740905543,0.002176202
LOC_Os08g38800,3.738567757,0.000157062
LOC_Os04g43290,3.712638367,0.005352624
LOC_Os07g43440,3.712638367,0.005352624
LOC_Os12g44030,3.712638367,0.005352624
LOC_Os05g50080,3.702313158,0.048219086
LOC_Os07g10730,3.702313158,0.048219086
LOC_Os02g03670,3.700395633,0.002446565
LOC_Os02g51020,3.690137539,0.001087349
LOC_Os03g01820,3.685607724,0.000381646
LOC_Os01g66200,3.678307027,0.001601365
LOC_Os05g12410,3.678307027,0.001601365
LOC_Os04g44200,3.646328064,0.00176232
LOC_Os02g54760,3.637035928,0.000111544
LOC_Os03g44420,3.636400159,0.000323933
LOC_Os08g39430,3.632280572,0.000231031
LOC_Os01g06520,3.631520775,0.026706022
LOC_Os08g14200,3.631520775,0.026706022
LOC_Os09g29710,3.631520775,0.026706022
LOC_Os11g10530,3.631520775,0.026706022
LOC_Os11g19730,3.631520775,0.026706022
LOC_Os11g35340,3.631520775,0.026706022
LOC_Os10g31830,3.629560607,0.000114973
LOC_Os02g40410,3.619990431,0.007434817
LOC_Os11g13870,3.615794856,0.003523399
LOC_Os05g10310,3.608551212,0.000264072
LOC_Os09g36680,3.605242274,9.06E-05
LOC_Os01g62140,3.587736723,0.007434817
LOC_Os10g12750,3.585388575,0.001500646
LOC_Os03g58470,3.573555505,0.000202897
LOC_Os03g36960,3.570719242,0.034780972
LOC_Os02g47510,3.568869648,0.000144201
LOC_Os12g42220,3.560994764,0.000314183
LOC_Os02g03640,3.551957129,0.00062539
LOC_Os05g28520,3.550218536,0.000238376
LOC_Os06g04090,3.548806112,0.000202792
LOC_Os08g36370,3.520981969,0.010510413
LOC_Os11g34920,3.520981969,0.010510413
LOC_Os03g53610,3.516228672,0.010215989
LOC_Os03g07120,3.507242089,0.034780972
LOC_Os05g11990,3.507242089,0.034780972
LOC_Os06g10840,3.507242089,0.034780972
LOC_Os11g43404,3.507242089,0.034780972
LOC_Os11g47730,3.507242089,0.034780972
LOC_Os04g29550,3.504353042,0.000534505
LOC_Os11g41780,3.495210173,0.000862769
LOC_Os11g35300,3.487046974,0.002106798
LOC_Os01g62490,3.480574065,0.00018509
LOC_Os08g28010,3.474848987,0.003233264
LOC_Os10g02260,3.450987923,0.012586629
LOC_Os01g14140,3.440842947,0.045799632
LOC_Os02g29774,3.440842947,0.045799632
LOC_Os05g24140,3.440842947,0.045799632
LOC_Os05g32720,3.440842947,0.045799632
LOC_Os09g36760,3.440842947,0.045799632
LOC_Os07g01904,3.437092767,0.000379681
LOC_Os03g63540,3.433405249,0.001087349
LOC_Os08g01650,3.430076958,0.005932006
LOC_Os08g39440,3.423019379,0.000184872
LOC_Os07g47990,3.4191621,0.003598289
LOC_Os09g27550,3.414674847,0.012586629
LOC_Os01g44390,3.405086574,0.005932006
LOC_Os05g04120,3.405086574,0.005932006
LOC_Os10g40600,3.382939139,0.000790067
LOC_Os01g38610,3.381508319,0.003014449
LOC_Os01g60740,3.379655665,0.006803492
LOC_Os09g30486,3.379655665,0.006803492
LOC_Os01g19548,3.377424107,0.015150304
LOC_Os02g14170,3.377424107,0.015150304
LOC_Os05g41010,3.377424107,0.015150304
LOC_Os08g41700,3.377424107,0.015150304
LOC_Os01g09660,3.371239768,0.045799632
LOC_Os02g14890,3.371239768,0.045799632
LOC_Os02g43660,3.371239768,0.045799632
LOC_Os03g63280,3.371239768,0.045799632
LOC_Os05g45740,3.371239768,0.045799632
LOC_Os06g49360,3.371239768,0.045799632
LOC_Os08g24850,3.371239768,0.045799632
LOC_Os09g15830,3.371239768,0.045799632
LOC_Os10g20710,3.371239768,0.045799632
LOC_Os10g20780,3.371239768,0.045799632
LOC_Os11g34600,3.371239768,0.045799632
LOC_Os11g42620,3.371239768,0.045799632
LOC_Os11g44690,3.371239768,0.045799632
LOC_Os01g17440,3.368833642,0.001274794
LOC_Os01g42294,3.365101459,0.000924518
LOC_Os06g13060,3.362068875,0.000654085
LOC_Os01g12900,3.361239144,0.004481104
LOC_Os04g01140,3.355565124,0.001382397
LOC_Os06g45980,3.34987991,0.003307485
LOC_Os05g47790,3.339185994,0.015150304
LOC_Os03g16610,3.332887423,0.000380568
LOC_Os07g13770,3.328656286,0.001500646
LOC_Os01g11550,3.322134342,0.001193496
LOC_Os01g66000,3.322134342,0.001193496
LOC_Os01g71840,3.318172238,0.000969613
LOC_Os05g43690,3.317542535,0.003633928
LOC_Os01g02080,3.299906735,0.018334706
LOC_Os03g05225,3.299906735,0.018334706
LOC_Os08g43390,3.299906735,0.018334706
LOC_Os12g27220,3.287327907,0.001774082
LOC_Os07g43370,3.284463681,0.003998158
