,log2FC,padj
LOC_Os09g09210,13.11269112,1.34E-13
LOC_Os11g08610,12.68613656,8.38E-13
LOC_Os03g18779,11.51276336,1.25E-10
LOC_Os07g48000,11.02039017,9.91E-10
LOC_Os03g43100,10.62219578,5.29E-09
LOC_Os03g50670,10.00627148,6.59E-08
LOC_Os04g53650,9.976181087,7.56E-08
LOC_Os05g45170,9.634715225,2.92E-07
LOC_Os04g09860,9.463089765,5.72E-07
LOC_Os06g15430,9.336166107,9.80E-07
LOC_Os02g53240,9.273672009,2.30E-11
LOC_Os02g27910,9.238142893,1.41E-06
LOC_Os06g32600,9.238142893,1.41E-06
LOC_Os04g43090,9.143839861,2.07E-06
LOC_Os10g24170,9.143839861,2.07E-06
LOC_Os07g12260,9.132970866,2.07E-06
LOC_Os03g02470,9.057092171,5.77E-11
LOC_Os04g59420,8.532848767,2.00E-05
LOC_Os07g06834,8.410457242,7.56E-11
LOC_Os06g43150,7.998547649,0.000126293
LOC_Os07g02430,7.998547649,0.000126293
LOC_Os12g29690,7.899414862,0.000172911
LOC_Os08g14195,7.804928438,7.69E-11
LOC_Os01g62740,7.792964388,0.000285964
LOC_Os03g37520,7.765077558,0.000285964
LOC_Os03g43779,7.553138561,0.00059992
LOC_Os08g10612,7.451820908,0.000732646
LOC_Os04g28620,7.38009365,0.000900684
LOC_Os12g35470,7.342846835,0.001115132
LOC_Os01g06852,7.265337964,0.001391155
LOC_Os11g17954,7.224963884,0.0017497
LOC_Os01g36064,7.183427319,0.0017497
LOC_Os03g26280,7.183427319,0.0017497
LOC_Os05g03400,7.183427319,0.0017497
LOC_Os06g11830,7.183427319,0.0017497
LOC_Os07g44250,7.183427319,0.0017497
LOC_Os02g12470,7.140659335,0.002220049
LOC_Os07g15340,7.096584681,0.002220049
LOC_Os12g24050,6.94398997,4.99E-09
LOC_Os12g29710,6.905444702,0.003680029
LOC_Os03g19600,6.799454933,0.00481584
LOC_Os08g14650,6.799454933,0.00481584
LOC_Os10g04380,6.799454933,0.00481584
LOC_Os11g11220,6.799454933,0.00481584
LOC_Os11g15755,6.799454933,0.00481584
LOC_Os11g35970,6.799454933,0.00481584
