,log2FC,padj
LOC_Os05g15220,10.06643834,6.01E-08
LOC_Os03g43100,9.905316566,1.17E-07
LOC_Os06g50950,9.389173493,9.13E-07
LOC_Os07g06834,8.473099251,2.50E-10
LOC_Os04g13000,8.07046912,0.000126293
LOC_Os07g38200,8.07046912,0.000126293
LOC_Os10g41838,8.07046912,0.000126293
LOC_Os04g27330,8.014100251,0.000147483
LOC_Os11g34624,7.61993283,0.00059992
LOC_Os05g39920,7.460330734,0.000900684
LOC_Os03g59940,7.129877692,0.002843659
LOC_Os06g11830,7.075826035,0.002843659
LOC_Os11g41650,7.075826035,0.002843659
LOC_Os04g38670,6.961239706,0.003680029
LOC_Os08g14190,6.961239706,0.003680029
LOC_Os09g20260,6.900342463,0.00481584
LOC_Os01g37000,6.836760983,0.006379424
LOC_Os04g10730,6.836760983,0.006379424
LOC_Os07g15340,6.836760983,0.006379424
LOC_Os10g04890,6.836760983,0.006379424
LOC_Os11g17954,6.836760983,0.006379424
LOC_Os03g59990,6.700519038,0.008564159
LOC_Os04g34170,6.700519038,0.008564159
LOC_Os08g22300,6.700519038,0.008564159
LOC_Os11g42400,6.700519038,0.008564159
LOC_Os03g14820,6.627248341,0.011667115
LOC_Os10g02450,6.550056378,0.011667115
LOC_Os08g14195,6.420937213,1.01E-08
LOC_Os04g38660,6.382054608,0.016154467
LOC_Os10g11889,6.382054608,0.016154467
LOC_Os10g39044,6.382054608,0.016154467
LOC_Os03g17410,6.290097914,0.02277515
LOC_Os08g14210,6.290097914,0.02277515
LOC_Os03g39432,6.191878496,0.032764251
LOC_Os04g05960,6.191878496,0.032764251
LOC_Os05g43100,6.191878496,0.032764251
LOC_Os06g13850,6.191878496,0.032764251
LOC_Os08g04210,6.191878496,0.032764251
LOC_Os09g20940,6.191878496,0.032764251
LOC_Os10g07200,6.191878496,0.032764251
LOC_Os12g29719,6.191878496,0.032764251
LOC_Os12g24050,6.007226398,4.44E-08
LOC_Os01g08140,5.972771469,0.048219086
LOC_Os01g51880,5.972771469,0.048219086
LOC_Os02g12690,5.972771469,0.048219086
LOC_Os02g15350,5.972771469,0.048219086
LOC_Os03g25289,5.972771469,0.048219086
LOC_Os05g23350,5.972771469,0.048219086
LOC_Os05g34490,5.972771469,0.048219086
LOC_Os06g07060,5.972771469,0.048219086
LOC_Os08g15710,5.972771469,0.048219086
LOC_Os08g41240,5.972771469,0.048219086
LOC_Os12g01355,5.972771469,0.048219086
LOC_Os06g49190,5.930680024,6.27E-07
LOC_Os02g17480,5.849327404,0.048219086
LOC_Os07g44870,5.849327404,0.048219086
LOC_Os11g04920,5.849327404,0.048219086
LOC_Os07g44250,5.845841177,6.31E-05
LOC_Os05g36210,5.25954188,1.02E-06
LOC_Os11g41770,5.254584093,1.11E-06
LOC_Os03g18779,5.106755161,3.56E-05
LOC_Os03g04760,5.098870416,1.65E-05
LOC_Os08g14200,4.97983154,0.001280849
LOC_Os05g36240,4.951750087,2.36E-06
LOC_Os11g31050,4.934734799,5.65E-06
LOC_Os09g29710,4.91597681,0.001507645
LOC_Os07g28970,4.849164411,0.001782286
LOC_Os07g05840,4.78680801,1.49E-06
LOC_Os04g56430,4.773304004,1.01E-06
LOC_Os08g08970,4.762423194,0.000118214
LOC_Os02g14720,4.649424046,1.88E-06
LOC_Os03g50670,4.640765763,0.000186674
LOC_Os08g11100,4.627878035,0.00365261
LOC_Os09g38104,4.626313101,0.00023965
LOC_Os05g15920,4.545871059,0.004429481
LOC_Os08g24850,4.545871059,0.004429481
LOC_Os10g26250,4.545871059,0.004429481
LOC_Os07g29570,4.458920128,0.005404101
LOC_Os01g42210,4.287911109,0.016154467
LOC_Os01g50020,4.287911109,0.016154467
LOC_Os01g57770,4.267517506,0.010215989
LOC_Os06g13480,4.267517506,0.010215989
LOC_Os12g38010,4.267517506,0.010215989
LOC_Os06g34650,4.250403708,0.000359459
LOC_Os11g35300,4.246546701,0.000173451
LOC_Os07g05850,4.202331542,7.26E-05
LOC_Os05g43110,4.161366359,0.012821408
LOC_Os01g71474,4.105210526,0.016225581
LOC_Os03g37140,4.04678003,0.016225581
LOC_Os11g08445,4.04678003,0.016225581
LOC_Os06g09980,4.030642995,6.91E-05
LOC_Os03g61500,3.992337058,0.032764251
LOC_Os08g29320,3.922301307,0.026706022
LOC_Os01g45914,3.869557111,0.000262647
LOC_Os04g08640,3.841756336,0.002525671
LOC_Os02g18750,3.786059363,0.034780972
LOC_Os03g05610,3.786059363,0.034780972
LOC_Os07g02590,3.786059363,0.034780972
LOC_Os08g36040,3.786059363,0.034780972
LOC_Os12g43510,3.786059363,0.034780972
LOC_Os10g27210,3.755183904,0.048219086
LOC_Os05g11820,3.710361491,0.000550733
LOC_Os01g71670,3.704482206,9.43E-05
LOC_Os04g22080,3.691935956,0.000412992
LOC_Os08g32960,3.689707781,0.000451574
LOC_Os11g44340,3.686453699,0.004429481
LOC_Os04g41680,3.675944265,9.13E-05
LOC_Os01g36064,3.635596703,0.045799632
LOC_Os08g26520,3.635596703,0.045799632
LOC_Os12g32390,3.635596703,0.045799632
LOC_Os02g03960,3.55791667,0.005404101
LOC_Os10g41660,3.516333494,0.000176333
LOC_Os12g15680,3.495758353,0.000175314
LOC_Os01g71860,3.465387211,0.008203511
LOC_Os02g06600,3.465387211,0.008203511
LOC_Os07g34720,3.464579076,0.004569388
LOC_Os01g38110,3.464159952,0.003112808
LOC_Os12g15530,3.451599628,0.00021227
LOC_Os06g40240,3.435881123,0.002516721
LOC_Os01g09700,3.425587866,0.010510413
LOC_Os08g38800,3.408061818,0.000482647
LOC_Os12g43970,3.397766676,0.005352624
LOC_Os10g36090,3.379838367,0.001162234
LOC_Os11g41780,3.377516128,0.001457173
LOC_Os01g62140,3.366514048,0.010215989
LOC_Os06g16640,3.366514048,0.010215989
LOC_Os01g71340,3.360700991,0.000312466
LOC_Os10g09990,3.318116189,0.000475998
LOC_Os02g13520,3.260362901,0.012821408
LOC_Os02g50374,3.260362901,0.012821408
LOC_Os04g15920,3.260362901,0.012821408
LOC_Os05g33160,3.260362901,0.012821408
LOC_Os11g47560,3.260362901,0.012821408
LOC_Os07g04560,3.247445805,0.002143838
LOC_Os01g25360,3.193063421,0.034780972
LOC_Os07g06570,3.193063421,0.034780972
LOC_Os12g38770,3.192143928,0.006803492
LOC_Os01g35330,3.182599808,0.000524752
LOC_Os12g08760,3.175865814,0.000455758
LOC_Os01g71380,3.172054045,0.002282946
LOC_Os03g30130,3.146790456,0.002910357
LOC_Os12g36920,3.145776572,0.016225581
LOC_Os04g46400,3.09321807,0.001918399
LOC_Os08g42750,3.082844121,0.003598289
LOC_Os02g36280,3.069788287,0.001605689
LOC_Os01g71090,3.068559457,0.003633928
