,log2FC,padj
LOC_Os05g15220,11.29111125,3.14E-10
LOC_Os04g56910,10.68858091,3.93E-09
LOC_Os03g43100,10.26933702,2.22E-08
LOC_Os03g18779,10.23284112,2.59E-08
LOC_Os12g15680,10.11746381,4.06E-08
LOC_Os03g50670,10.03507804,5.75E-08
LOC_Os11g42370,9.878510318,1.06E-07
LOC_Os01g38110,9.591966316,3.48E-07
LOC_Os04g34500,9.487409639,5.03E-07
LOC_Os04g13000,9.407796642,6.96E-07
LOC_Os01g36064,9.323532398,9.80E-07
LOC_Os06g11830,9.215454955,1.52E-06
LOC_Os07g15340,8.993466955,3.39E-06
LOC_Os09g37834,8.982517444,3.70E-06
LOC_Os05g45170,8.90345175,4.82E-06
LOC_Os11g31050,8.458142216,2.52E-05
LOC_Os07g34550,8.272839617,4.69E-05
LOC_Os11g42290,8.272839617,4.69E-05
LOC_Os07g11790,8.270105394,9.60E-10
LOC_Os07g06834,8.214765868,9.96E-11
LOC_Os12g30824,8.131757897,1.41E-10
LOC_Os01g25470,8.060179398,0.000108555
LOC_Os05g45110,8.039197269,0.000108555
LOC_Os07g02610,8.039197269,0.000108555
LOC_Os08g10612,7.906461397,0.000172911
LOC_Os11g42220,7.906461397,0.000172911
LOC_Os04g50940,7.826112026,5.15E-10
LOC_Os11g42200,7.81677706,1.32E-11
LOC_Os07g45560,7.708043131,0.000341383
LOC_Os06g15610,7.568569339,0.0004943
LOC_Os08g04540,7.495783027,5.97E-10
LOC_Os01g06852,7.477917012,0.000732646
LOC_Os12g29690,7.446387981,0.000732646
LOC_Os10g20610,7.414154481,0.000900684
LOC_Os03g37140,7.381184312,0.000900684
LOC_Os01g46860,7.347443013,0.001115132
LOC_Os10g23900,7.312893646,0.001115132
LOC_Os11g11220,7.312893646,0.001115132
LOC_Os08g14195,7.310828912,3.55E-10
LOC_Os04g21130,7.251150728,6.65E-08
LOC_Os12g24050,7.194465789,9.85E-10
LOC_Os11g15755,7.165775592,0.0017497
LOC_Os12g29680,7.165775592,0.0017497
LOC_Os09g20260,7.1265263,0.002220049
LOC_Os05g24660,7.044671345,0.002843659
LOC_Os07g11739,6.986268495,2.36E-09
LOC_Os06g21369,6.957891306,0.003680029
LOC_Os12g09790,6.917677898,2.52E-07
LOC_Os05g13970,6.766903115,0.00481584
LOC_Os11g17954,6.766903115,0.00481584
LOC_Os03g31560,6.66100659,0.006379424
LOC_Os05g19930,6.66100659,0.006379424
LOC_Os06g37280,6.66100659,0.006379424
LOC_Os08g08592,6.66100659,0.006379424
LOC_Os08g24750,6.66100659,0.006379424
