,log2FC,padj
LOC_Os12g37415,16.46913302,6.92404E-63
LOC_Os01g65110,15.47642979,1.2583E-207
LOC_Os03g60440,14.91345044,9.62138E-19
LOC_Os03g19427,14.50618359,1.064E-76
LOC_Os01g14060,14.47484667,1.45877E-38
LOC_Os11g13680,13.93203016,7.5052E-27
LOC_Os09g11160,13.80574387,3.684E-36
LOC_Os09g29710,13.30919211,3.05278E-17
LOC_Os01g43372,13.26883437,1.13792E-46
LOC_Os03g06430,13.22430321,9.88336E-07
LOC_Os07g44250,13.17055104,7.65794E-18
LOC_Os06g15430,13.14847658,3.01204E-23
LOC_Os05g50390,13.11958962,3.05278E-17
LOC_Os01g14290,13.10983065,9.493E-25
LOC_Os03g19420,13.0344551,1.48846E-29
LOC_Os10g11500,12.9854862,9.75148E-13
LOC_Os07g30760,12.90312868,5.8939E-32
LOC_Os11g42550,12.84156435,1.21697E-16
LOC_Os09g13650,12.55074679,1.21697E-16
LOC_Os07g42924,12.54592977,3.80982E-21
LOC_Os05g10210,12.50680344,4.85134E-16
LOC_Os09g31430,12.49685378,2.99188E-26
LOC_Os09g07450,12.36905201,9.88336E-07
LOC_Os05g33420,12.27321281,3.88736E-12
LOC_Os02g09850,12.22881869,3.11492E-08
LOC_Os12g04870,12.11634396,6.26116E-05
LOC_Os02g37770,12.09011242,1.56011E-08
LOC_Os11g25130,12.07347215,2.41354E-19
LOC_Os03g43650,11.95855272,1.20882E-19
LOC_Os11g07830,11.95128471,3.09406E-11
LOC_Os06g43304,11.88417052,1.52899E-17
LOC_Os02g26480,11.87267488,1.93395E-15
LOC_Os11g22960,11.70994538,1.96011E-09
LOC_Os07g19000,11.70994538,0.00012501
LOC_Os08g33300,11.70563239,2.44618E-13
LOC_Os02g13710,11.65731845,1.96011E-09
LOC_Os09g26200,11.64835758,4.95008E-07
LOC_Os02g46230,11.46658634,3.78432E-24
LOC_Os04g36820,11.46658634,0.00012501
LOC_Os04g31520,11.43045255,0.00012501
LOC_Os11g13750,11.33873638,0.000031359
LOC_Os06g50706,11.33315535,3.88736E-12
LOC_Os03g61720,11.32755264,9.75148E-13
LOC_Os11g41770,11.12928302,3.91356E-09
LOC_Os09g32964,11.09671515,9.88336E-07
LOC_Os04g02640,11.04984855,4.91696E-10
LOC_Os11g35930,11.02928723,1.24174E-07
LOC_Os02g20560,10.98726401,4.95008E-07
LOC_Os04g04980,10.98726401,0.00012501
LOC_Os08g35750,10.95855272,6.26116E-05
LOC_Os11g01570,10.93663794,3.91356E-09
LOC_Os04g55600,10.89935692,0.00012501
LOC_Os10g33780,10.83762793,0.000031359
LOC_Os03g48740,10.79766153,4.95008E-07
LOC_Os11g04600,10.75655632,1.96011E-09
LOC_Os10g29400,10.75655632,1.23342E-10
LOC_Os07g19210,10.56033283,6.26116E-05
LOC_Os04g27670,10.55074679,1.56011E-08
LOC_Os01g38580,10.52160044,7.8138E-09
LOC_Os09g39720,10.52160044,1.57062E-05
LOC_Os02g29330,10.4918531,3.09406E-11
LOC_Os03g45340,10.47167521,0.00012501
LOC_Os01g36460,10.41996018,1.57062E-05
LOC_Os04g57430,10.40939094,6.26116E-05
LOC_Os02g15350,10.33315535,3.93992E-06
LOC_Os02g31230,10.32192809,3.93992E-06
LOC_Os06g02730,10.24079133,6.26116E-05
LOC_Os11g34390,10.20457114,6.26116E-05
LOC_Os05g10240,10.15481811,3.11492E-08
LOC_Os11g29840,10.12928302,6.26116E-05
LOC_Os12g31700,10.06339508,3.11492E-08
LOC_Os05g36050,10.04984855,1.57062E-05
LOC_Os10g07556,10.00842862,3.93992E-06
LOC_Os05g34490,10.00842862,6.26116E-05
LOC_Os11g08569,9.936637939,2.47926E-07
LOC_Os09g13410,9.891783703,0.00012501
LOC_Os12g41060,9.845490051,1.57062E-05
LOC_Os07g35350,9.661778098,0.00012501
LOC_Os10g26340,9.187517037,0
LOC_Os06g44960,9.049848549,6.26116E-05
LOC_Os06g41340,8.781359714,1.24174E-07
LOC_Os03g55690,8.679919879,0
LOC_Os03g01684,8.17990909,0.000031359
LOC_Os03g02470,7.62058641,1.83802E-61
LOC_Os09g36700,7.44202194,2.6972E-206
LOC_Os03g02190,7.116343961,1.07048E-42
LOC_Os03g18779,6.837102265,9.5793E-134
LOC_Os06g49660,6.584962501,4.81562E-29
LOC_Os07g03279,6.541260716,1.7698E-161
LOC_Os01g62480,6.531381461,5.67712E-27
LOC_Os08g39330,6.511752654,7.35558E-28
LOC_Os01g65690,6.234425356,1.5246E-217
LOC_Os07g05840,6.212760194,3.9264E-184
LOC_Os05g06780,6.210381442,6.84454E-43
LOC_Os02g43194,6.172784656,1.17275E-21
LOC_Os07g39114,6.159198595,1.76812E-20
LOC_Os01g24710,6.126471027,0
LOC_Os06g50930,6.025535092,1.36066E-37
LOC_Os09g32290,5.919340082,5.3165E-99
LOC_Os01g58910,5.918863237,1.0293E-18
LOC_Os01g57190,5.903304986,5.24778E-32
LOC_Os11g42500,5.900866808,4.54928E-34
LOC_Os07g05850,5.854291236,1.7493E-95
LOC_Os09g07440,5.757556689,5.7452E-30
LOC_Os10g40620,5.754887502,8.83852E-16
LOC_Os07g48390,5.710493383,1.73428E-15
LOC_Os09g36680,5.521119546,0
LOC_Os04g58200,5.480699081,0
LOC_Os05g09740,5.477677328,2.68816E-25
LOC_Os02g52840,5.474259036,7.36402E-13
LOC_Os06g49190,5.440287821,1.02721E-24
LOC_Os01g71830,5.344699403,2.09316E-11
LOC_Os07g05420,5.30833903,1.07274E-11
LOC_Os05g45180,5.301396784,1.87452E-32
LOC_Os07g01600,5.269905883,7.95618E-11
LOC_Os05g48850,5.179323699,4.50146E-20
LOC_Os04g04950,5.161887682,3.01696E-10
LOC_Os01g01650,5.123614267,1.87623E-46
LOC_Os01g49750,5.097412502,5.86924E-10
LOC_Os07g38350,5.087462841,3.93992E-06
