,log2FC,padj
LOC_Os01g02050,1.6548,0.00370797
LOC_Os01g02870,1.48532,0.0144201
LOC_Os01g04350,1.77015,0.00364102
LOC_Os01g04630,1.75134,0.000903774
LOC_Os01g07620,1.81822,0.00865895
LOC_Os01g07940,1.78156,0.000349608
LOC_Os01g08250,1.26837,0.0403549
LOC_Os01g09430,1.12429,0.026777
LOC_Os01g09800,1.47723,0.00380637
LOC_Os01g10040,2.32533,0.00088249
LOC_Os01g10140,1.18206,0.0359326
LOC_Os01g10580,1.41134,0.0125603
LOC_Os01g11350,1.22447,0.0134463
LOC_Os01g11940,1.79769,0.00133235
LOC_Os01g12240,5.83305,0.000429836
LOC_Os01g12340,2.9563,1.33209E-07
LOC_Os01g12374,2.71478,0.00861179
LOC_Os01g12430,1.13174,0.0248414
LOC_Os01g12900,1.74043,0.00184271
LOC_Os01g14770,2.17801,1.34439E-05
LOC_Os01g16810,2.12832,0.0001914
LOC_Os01g18080,1.81448,0.000916188
LOC_Os01g19480,4.45775,0
LOC_Os01g22640,1.15612,0.0203027
LOC_Os01g24480,1.42716,0.00473043
LOC_Os01g28790,2.10743,0.0175605
LOC_Os01g31940,1.22677,0.02252
LOC_Os01g34690,1.07717,0.0386435
LOC_Os01g40860,1.27989,0.00930341
LOC_Os01g41010,1.72999,0.000862729
LOC_Os01g42380,1.73967,0.00125811
LOC_Os01g43320,2.37682,0.0483785
LOC_Os01g44069,2.76728,4.86947E-06
LOC_Os01g44110,1.13555,0.0389146
LOC_Os01g45550,1.20991,0.0174017
LOC_Os01g45860,1.10599,0.0288563
LOC_Os01g50200,2.00617,0.000578821
LOC_Os01g51060,1.31867,0.0244472
LOC_Os01g52400,1.09754,0.0260972
LOC_Os01g52680,3.88974,1.33227E-15
LOC_Os01g52750,2.12656,0.00125651
LOC_Os01g52780,1.19187,0.0216951
LOC_Os01g53160,3.61153,6.40504E-07
LOC_Os01g54990,1.15345,0.0243452
LOC_Os01g60770,1.76675,0.0155721
LOC_Os01g62900,1.2089,0.043655
LOC_Os01g62920,1.31274,0.00964223
LOC_Os01g62950,0.988736,0.0477921
LOC_Os01g63500,1.54862,0.012148
LOC_Os01g65920,1.42923,0.00605132
LOC_Os01g66030,3.79472,1.16915E-06
LOC_Os01g66120,1.32051,0.00960435
LOC_Os01g66130,1.01211,0.0457763
LOC_Os01g66490,1.17778,0.0246652
LOC_Os01g68870,2.96499,5.30245E-06
LOC_Os01g70410,1.25666,0.0344372
LOC_Os01g70930,1.88263,0.0309301
LOC_Os01g71170,1.12742,0.0283883
LOC_Os01g72080,1.21436,0.0180064
LOC_Os01g73040,1.43993,0.0498049
LOC_Os02g02400,2.12888,0.000574586
LOC_Os02g04810,2.09252,0.000118466
LOC_Os02g06910,1.2623,0.0224993
