,log2FC,padj
LOC_Os01g01170,–3.37637,0.00005
LOC_Os01g01340,1.86828,0.00005
LOC_Os01g01360,–1.60422,0.00005
LOC_Os01g01520,–1.23623,0.00005
LOC_Os01g01600,–1.4788,0.00005
LOC_Os01g01870,1.25184,0.00005
LOC_Os01g01970,1.52254,0.00005
LOC_Os01g02020,1.83942,0.00005
LOC_Os01g02060,–1.7047,0.00005
LOC_Os01g02200,1.51761,0.00005
LOC_Os01g02910,–1.13786,0.0001
LOC_Os01g03110,2.05843,0.00005
LOC_Os01g03340,5.0938,0.00005
LOC_Os01g03360,4.62158,0.00005
LOC_Os01g03680,3.77926,0.00005
LOC_Os01g03750,3.29084,0.00005
LOC_Os01g03840,–2.98215,0.00005
LOC_Os01g03914,2.19592,0.00005
LOC_Os01g04050,5.58687,0.00005
LOC_Os01g04280,2.26897,0.00005
LOC_Os01g04330,6.37152,0.00005
LOC_Os01g04350,1.68117,0.00005
LOC_Os01g04670,2.13875,0.00005
LOC_Os01g04710,–1.00356,0.00005
LOC_Os01g04920,–1.82159,0.00005
LOC_Os01g05610,–1.34918,0.00005
LOC_Os01g05650,4.16373,0.00005
LOC_Os01g05830,2.30688,0.00005
LOC_Os01g06560,2.92008,0.00005
LOC_Os01g06590,3.90966,0.00005
LOC_Os01g06600,1.48455,0.00005
LOC_Os01g07120,1.26558,0.00005
LOC_Os01g07260,–1.18734,0.00005
LOC_Os01g07300,3.95132,0.00005
LOC_Os01g07480,–1.21583,0.00005
LOC_Os01g07530,5.93514,0.00005
LOC_Os01g07570,–1.19189,0.00005
LOC_Os01g07940,–1.74291,0.00005
LOC_Os01g07970,3.74987,0.00005
LOC_Os01g08140,–1.66193,0.0001
LOC_Os01g08160,–1.8084,0.00005
LOC_Os01g08220,–3.44061,0.00005
LOC_Os01g08380,3.56422,0.00005
LOC_Os01g08520,–1.65156,0.00005
LOC_Os01g08700,1.76827,0.00005
LOC_Os01g08710,–1.7253,0.00005
LOC_Os01g08820,–1.93999,0.00005
LOC_Os01g08860,6.29348,0.00005
LOC_Os01g09120,1.33842,0.00005
LOC_Os01g09220,2.07834,0.00005
LOC_Os01g09280,1.60407,0.00005
LOC_Os01g09320,2.52089,0.00005
LOC_Os01g09570,1.26214,0.00005
LOC_Os01g09620,3.02588,0.00005
LOC_Os01g09790,–1.19097,0.00005
LOC_Os01g09850,–2.43914,0.00005
LOC_Os01g09880,–1.47035,0.00005
LOC_Os01g10140,1.31153,0.00005
LOC_Os01g10210,2.871,0.00005
LOC_Os01g10250,1.55875,0.00005
LOC_Os01g10520,–4.11665,0.00005
LOC_Os01g10690,–1.07526,0.00005
LOC_Os01g10800,–1.31121,0.00005
LOC_Os01g10850,–2.04058,0.00005
LOC_Os01g10900,1.05968,0.00015
LOC_Os01g10920,–2.42061,0.00005
LOC_Os01g11240,1.10788,0.00005
LOC_Os01g11350,–1.86761,0.00005
LOC_Os01g11550,–1.59476,0.00005
LOC_Os01g11810,–2.49499,0.00005
LOC_Os01g12190,2.5658,0.00005
LOC_Os01g12200,1.03261,0.0001
LOC_Os01g12250,–1.14231,0.0001
LOC_Os01g12520,–2.4938,0.00005
LOC_Os01g12710,1.13457,0.00005
LOC_Os01g12820,5.76123,0.00005
LOC_Os01g13080,–1.34356,0.00005
LOC_Os01g13160,1.26885,0.00005
LOC_Os01g13170,1.05459,0.00005
LOC_Os01g13200,1.37095,0.00005
LOC_Os01g13300,–1.42402,0.00005
LOC_Os01g13390,–1.75906,0.00005
