,log2FC,padj
LOC_Os02g44320,17.20464101,0.007929802
LOC_Os02g20560,16.41161728,5.14E-05
LOC_Os11g26340,15.73068135,0.000515674
LOC_Os08g16260,15.68771656,2.88E-06
LOC_Os11g26190,15.23609071,0.004054449
LOC_Os05g10210,15.12677549,1.50E-05
LOC_Os02g58720,14.90675666,0.001863634
LOC_Os06g21250,14.81576777,0.020642604
LOC_Os12g03150,14.81439863,0.040283899
LOC_Os05g09704,14.75483245,9.01E-05
LOC_Os06g35970,14.66142736,0.030432664
LOC_Os12g02300,14.50227639,0.016560249
LOC_Os08g08130,14.31500508,1.22E-92
LOC_Os03g45619,14.12777392,1.24E-05
LOC_Os11g42220,14.10814204,0.000186966
LOC_Os04g31460,14.07497207,0.000498107
LOC_Os11g02350,14.0283161,0.036579556
LOC_Os02g40260,14.02722099,0.03057231
LOC_Os10g01920,13.80728722,4.89E-05
LOC_Os11g13750,13.64359021,0.000138072
LOC_Os05g13900,13.38415743,0.000280234
LOC_Os12g36210,13.38064321,0.004731493
LOC_Os03g01800,13.35926694,0.00035442
LOC_Os03g02190,13.19417605,0.000516594
LOC_Os04g32820,13.12839507,0.003910415
LOC_Os02g37770,13.05499333,0.000438405
LOC_Os01g15830,12.98065877,0.010960789
LOC_Os12g38350,12.86597707,0.008285883
LOC_Os11g42500,12.81143775,3.53E-06
LOC_Os04g31410,12.81013945,0.024678389
LOC_Os07g44370,12.72539019,0.000293657
LOC_Os07g18750,12.65684161,0.037681767
LOC_Os04g34170,12.61296245,0.027987731
LOC_Os07g41050,12.56974276,0.010984787
LOC_Os07g01370,12.56536644,0.002753284
LOC_Os01g65690,12.56085068,6.36E-06
LOC_Os10g12750,12.26946435,0.005690155
LOC_Os11g35930,12.13078094,0.000213378
LOC_Os03g06170,12.10379134,0.028043487
LOC_Os02g08530,12.07764464,0.005394345
LOC_Os09g08990,12.05707255,0.024528376
LOC_Os10g06000,12.05257039,0.000452585
LOC_Os09g29710,12.05257039,0.000463979
LOC_Os01g47780,12.02537829,0.009751557
LOC_Os06g30730,11.97134857,0.001126063
LOC_Os04g54810,11.96795175,6.47E-05
LOC_Os04g56390,11.92224748,0.004800078
LOC_Os04g28520,11.90552498,0.000280017
LOC_Os10g40480,11.88870591,0.020227352
LOC_Os08g33110,11.88184353,0.001422985
LOC_Os11g18730,11.840926,0.001667712
LOC_Os06g06250,11.83910909,0.004210361
LOC_Os11g42550,11.81525349,8.67E-06
LOC_Os07g48660,11.79175214,1.42E-102
LOC_Os04g31484,11.7695563,0.002128389
LOC_Os07g32680,11.76702985,0.000297736
LOC_Os03g43100,11.74289815,1.90E-12
LOC_Os01g19220,11.6546445,0.000423689
LOC_Os08g35750,11.65203994,0.008024565
LOC_Os01g01190,11.65040755,0.017999239
LOC_Os06g21270,11.51535601,0.001848719
LOC_Os02g44108,11.49652102,0.008272451
LOC_Os01g42200,11.48696947,0.002432832
LOC_Os03g47010,11.45607482,0.000932608
LOC_Os10g33780,11.45563686,0.000110144
LOC_Os04g57430,11.44476079,0.000759574
LOC_Os01g06560,11.43638203,7.22E-12
LOC_Os12g28770,11.43300181,0.010581277
LOC_Os07g25810,11.42493291,0.009644598
LOC_Os01g60740,11.42446002,0.002445481
LOC_Os04g46660,11.40826765,0.000895807
LOC_Os01g55000,11.40644466,0.021580365
LOC_Os11g30810,11.37616941,0.000651529
LOC_Os06g46680,11.37112617,0.009996673
