,log2FC,padj
LOC_Os07g02430,16.45864163,1.82E-93
LOC_Os03g02470,16.04061565,4.72E-86
LOC_Os03g18779,14.88454965,4.52E-61
LOC_Os02g53240,12.99666681,2.82E-17
LOC_Os06g10260,12.64247105,8.07E-45
LOC_Os03g43100,12.56011337,1.09E-20
LOC_Os01g49750,11.76053249,2.95E-11
LOC_Os07g01300,10.87685612,8.06E-06
LOC_Os07g26100,10.71757591,1.79E-08
LOC_Os03g31560,10.64942393,1.27E-39
LOC_Os11g41770,10.06131,1.76E-09
LOC_Os03g17410,9.899976308,1.89E-09
LOC_Os03g59440,9.559426738,0.003535072
LOC_Os08g03002,9.308705995,0.000165874
LOC_Os07g34520,9.2947293,3.07E-05
LOC_Os05g23050,9.246673966,4.39E-06
LOC_Os05g50390,9.213928816,8.69E-05
LOC_Os12g07180,9.213928816,0.003220563
LOC_Os03g20710,9.192772529,0.032706754
LOC_Os01g62740,8.960829412,0.005438104
LOC_Os04g02490,8.898840887,0.005726112
LOC_Os08g04580,8.812857945,0.007000586
LOC_Os10g34409,8.729706345,2.80E-47
LOC_Os02g15350,8.305594706,0.001184545
LOC_Os08g04240,8.124727382,0.02636385
LOC_Os02g06580,8.035105623,7.10E-05
LOC_Os03g25760,7.996713959,0.004033689
LOC_Os01g42210,7.703834739,0.027828755
LOC_Os10g24004,7.638900649,1.23E-12
LOC_Os02g07050,7.592357584,0.026443676
LOC_Os07g03920,7.384069398,0.03544387
LOC_Os01g57370,7.380285784,0.031644992
LOC_Os02g12470,7.352041103,0.033217448
LOC_Os07g06834,7.297126078,1.54E-39
LOC_Os03g61160,7.080025746,0.010984878
LOC_Os05g13970,7.058277544,0.032105871
LOC_Os03g08560,6.981132786,0.046336854
LOC_Os07g35350,6.965136644,0.00097947
LOC_Os03g45210,6.867177022,0.021449048
LOC_Os08g41620,6.691410458,0.033728585
LOC_Os07g05840,6.5245062,1.47E-51
LOC_Os02g54790,6.374408606,4.54E-10
LOC_Os06g46250,6.177982168,0.000150736
LOC_Os07g32680,6.078274996,8.00E-05
LOC_Os07g03040,5.555884315,9.05E-36
LOC_Os02g12680,5.225086333,0.02163593
LOC_Os03g51350,5.131243182,0.010742342
LOC_Os08g32750,5.080759784,7.47E-05
