,log2FoldChange,padj
LOC_Os01g01030,0.3497164322062685,0.01578912095323189
LOC_Os01g01060,0.3025074268545945,7.242735816320859e-4
LOC_Os01g01080,-0.6518893017109421,0.001572568529793959
LOC_Os01g01120,-0.7689384508148138,0.0010831657297444197
LOC_Os01g01280,-2.3171654484639963,4.2469822578259345e-25
LOC_Os01g01295,-0.37953202589024176,0.0017409176736874435
LOC_Os01g01307,0.5564904627041689,2.272799327963345e-9
LOC_Os01g01340,-0.677742567224951,2.794829883106063e-7
LOC_Os01g01470,0.4611974994959781,4.131611616374623e-5
LOC_Os01g01610,-0.9692976739769001,0.017886485754875045
LOC_Os01g01660,-0.9423073994682135,1.982747451815788e-14
LOC_Os01g01689,-1.2674061157048666,4.245961448245941e-4
LOC_Os01g01740,-0.49866567040355586,3.703891374269479e-4
LOC_Os01g01870,0.802202196227507,0.014428490684099314
LOC_Os01g01910,-0.7027716842612652,2.209161800628825e-4
LOC_Os01g01950,1.0065495939622113,0.03072261399186997
LOC_Os01g02000,-6.05129114409675,7.609129142244685e-17
LOC_Os01g02080,-1.6432262222961462,1.2935251219587157e-29
LOC_Os01g02120,-0.6515201631312223,7.488283634430216e-8
LOC_Os01g02170,0.3675814090114357,0.03065141275513271
LOC_Os01g02190,2.442224812866027,0.03354291707981754
LOC_Os01g02870,-0.9013908439272352,0.001755907767310267
LOC_Os01g02940,0.24672062052054117,0.04307096605347238
LOC_Os01g02960,0.3515844149737821,1.9022650182638453e-4
LOC_Os01g03060,-0.6682430422113428,2.6855234082177833e-8
LOC_Os01g03080,-0.2929013704692043,0.0227005534174386
LOC_Os01g03090,-0.7276611594036526,8.137020751425726e-4
LOC_Os01g03144,-0.5838631910169635,2.27679595457754e-9
LOC_Os01g03300,5.780532058411617,2.8410896940244033e-11
LOC_Os01g03340,-1.0996404711138132,6.061322936388495e-12
LOC_Os01g03360,-1.652654234062291,4.295416228064587e-54
LOC_Os01g03390,-1.6657872766403121,1.1750699526465407e-12
LOC_Os01g03680,-0.7819558582811419,1.9921572981496965e-7
LOC_Os01g03750,-0.6161962693109864,2.5308194679617206e-4
LOC_Os01g03760,0.46187937599288187,5.549411911457001e-4
LOC_Os01g03870,-0.3404408092819787,0.04610847758818785
LOC_Os01g03914,-0.7683797621858833,2.2116305222058992e-12
LOC_Os01g03950,-0.3896041374899827,0.002835367305201398
LOC_Os01g03980,-1.0257212899119572,3.4706997315415565e-16
LOC_Os01g04020,0.24224184837279616,0.028407792472750593
LOC_Os01g04030,0.3570979512090848,0.015958742656343713
LOC_Os01g04210,-1.5410469731643737,2.0032696841414925e-5
LOC_Os01g04260,-0.4533029045399638,3.0931574989922326e-7
LOC_Os01g04324,-2.25161470498455,8.611058188436872e-5
LOC_Os01g04340,-5.771871161871958,3.790336774120327e-8
LOC_Os01g04360,-4.532245373407956,1.608537969116348e-154
LOC_Os01g04370,-0.6864817643769768,6.598408653944889e-39
LOC_Os01g04380,-3.010423817659513,1.1984511686594328e-110
LOC_Os01g04520,1.342305037152681,0.00580475754844469
