,log2FoldChange,padj
LOC_Os01g01030,-0.3954258687416448,2.9457459871385717e-4
LOC_Os01g01050,0.345857026960859,0.019200006015664163
LOC_Os01g01120,0.7027923478556125,6.445925699236964e-6
LOC_Os01g01190,1.9931004127369845,4.91739244598979e-9
LOC_Os01g01280,0.731553760954184,0.0093488611183340509
LOC_Os01g01290,-0.6794290579250875,0.0028445551988728925
LOC_Os01g01295,-1.0073606301932179,1.8554201884698844e-15
LOC_Os01g01302,1.210554761860117,1.5170570251418308e-4
LOC_Os01g01340,2.106933294840285,9.793391879473572e-35
LOC_Os01g01360,1.7398299516549878,7.391511621447107e-5
LOC_Os01g01450,1.5836166876771058,4.606814005600965e-7
LOC_Os01g01520,2.9439301305447505,2.4838290172812457e-88
LOC_Os01g01580,0.9614781156468128,2.6586387175450527e-5
LOC_Os01g01610,-1.592200179134702,6.703606964608938e-11
LOC_Os01g01620,0.6522837368716224,0.0013106176673507895
LOC_Os01g01640,-0.45446559808597015,0.009580314338414726
LOC_Os01g01650,2.822452491940846,1.2163865198334385e-6
LOC_Os01g01660,3.145406020457935,4.52405385965671e-24
LOC_Os01g01670,-0.8249577879794399,1.3125801718635766e-5
LOC_Os01g01700,-0.5532193621373511,0.016986067167057438
LOC_Os01g01710,1.2842964489361908,2.6457878402334447e-4
LOC_Os01g01740,-0.8058178643479368,1.364665136820139e-4
LOC_Os01g01760,6.2875187986343235,4.034326169602601e-5
LOC_Os01g01840,3.2451523792632164,0.03418607746840127
LOC_Os01g01870,1.4233090688445864,6.838510161399069e-8
LOC_Os01g01890,-0.5859807204799037,6.818998620322817e-5
LOC_Os01g01910,1.2105698920772219,0.0019204831036624599
LOC_Os01g01930,0.6221624249911456,0.0028929201397586727
LOC_Os01g01940,-1.1199690463907839,1.4141768975409563e-11
LOC_Os01g02020,1.1469343973752937,9.437850039734114e-7
LOC_Os01g02050,-0.7163308913152789,5.204572183119889e-5
LOC_Os01g02060,1.2261191220969563,3.406493385081664e-4
LOC_Os01g02080,1.3994742083160028,4.8738441171749565e-25
LOC_Os01g02120,0.7214994729348948,6.522661841955407e-4
LOC_Os01g02139,0.8217591828357,0.018250170964251442
LOC_Os01g02150,2.239593891242855,9.264270752236414e-9
LOC_Os01g02200,-0.47709117205018364,4.896826360913821e-5
LOC_Os01g02290,1.2601977271011378,0.018786359326541924
LOC_Os01g02334,-0.6848904000007855,2.949515200732239e-4
LOC_Os01g02450,1.1149686685909976,0.04432349349170993
LOC_Os01g02470,0.5341963422330503,0.038089004180067644
LOC_Os01g02590,3.3615561858373395,0.031163659487158928
LOC_Os01g02890,1.963847487972707,0.002709807438014092
LOC_Os01g02900,3.792511079502092,4.178527309099631e-53
LOC_Os01g02910,1.7195921462786843,4.3954836092134084e-13
LOC_Os01g02920,2.573557626514116,1.0055605861317714e-43
LOC_Os01g02930,2.7909631522951974,4.1936274085806125e-8
LOC_Os01g02950,1.4276579122160031,0.032695788545094105
LOC_Os01g03050,-1.1327773593579014,2.660534463244135e-6
LOC_Os01g03060,-0.3159733054269211,0.047253365825880904
LOC_Os01g03080,-2.0576589421541867,7.198375799495087e-70
LOC_Os01g03090,1.0198559389383888,5.9415252225189444e-5
LOC_Os01g03100,1.3536227155517138,0.02177852266631979
LOC_Os01g03130,1.5089534732256351,0.0032142702678984968
LOC_Os01g03144,-1.0595620740424676,3.368671768453951e-39
LOC_Os01g03160,-0.6368031052898524,2.978850905914681e-8
LOC_Os01g03180,2.389700902773246,7.013029293968186e-20
LOC_Os01g03190,2.7193307196623064,2.485056164787456e-12
LOC_Os01g03310,7.018046706762284,1.3895176522404053e-5
LOC_Os01g03330,4.818022136609871,1.9721844775414549e-28
LOC_Os01g03340,1.4804461205977604,3.233693502634758e-5
LOC_Os01g03390,5.787815372808176,3.473938805906942e-35
LOC_Os01g03490,0.730423597725263,0.027064310010455596
LOC_Os01g03500,-0.9087601423196993,1.5548266695722683e-4
LOC_Os01g03530,5.4759513042867844,2.218138461603038e-10
LOC_Os01g03549,3.6319477179030497,2.566638417452557e-31
LOC_Os01g03570,-1.0074543481372997,3.23229462036605e-5
LOC_Os01g03680,-1.0258278985579197,2.0138444711138124e-4
LOC_Os01g03690,2.132095952827179,5.559812024733777e-14
LOC_Os01g03720,3.706398970612925,4.153161321972056e-5
LOC_Os01g03740,2.822804545125203,1.5739337845377766e-7
LOC_Os01g03730,3.0679370431475372,1.2263104068409868e-10
LOC_Os01g03750,1.0235195572775413,7.533554132055868e-4
LOC_Os01g03760,0.44937614879630805,0.001065274414691415
LOC_Os01g03870,2.630708896396153,5.069436926523139e-61
LOC_Os01g03890,3.5997663727951834,3.2925066491354093e-9
LOC_Os01g03914,0.3339444509386984,0.009979449908323225
LOC_Os01g03950,1.005888539920461,0.0013209023633998182
LOC_Os01g03980,-0.7640231112640025,0.004844342504312709
LOC_Os01g04020,-0.26876519074624067,0.03332532435601179
LOC_Os01g04030,-0.5353360628026098,0.009737735264133544
LOC_Os01g04050,4.051579547507107,2.5820479701665186e-11
LOC_Os01g04080,3.033262556101575,7.388187674642766e-7
LOC_Os01g04100,1.1388178121936474,1.3097897270795367e-6
LOC_Os01g04110,-0.6749086898015362,0.01597744711318339
LOC_Os01g04120,1.4806864706233915,0.004078297126738973
LOC_Os01g04130,1.7271542640611266,0.021414967089994782
LOC_Os01g04160,1.087063147696108,9.62089797726515e-5
LOC_Os01g04200,-1.306275359842481,5.571367233592304e-24
LOC_Os01g04230,1.1140483073950638,7.210910536916021e-5
LOC_Os01g04260,-0.7786058413019002,3.988849296371586e-7
LOC_Os01g04280,3.1166731448157425,7.305646758420834e-12
LOC_Os01g04300,1.9172139854391865,3.110949920754475e-6
LOC_Os01g04320,4.4522247332888405,0.013093900218745807
LOC_Os01g04324,2.8936045710372365,2.465379426120128e-7
LOC_Os01g04330,0.8902626412229157,6.819021898463232e-4
LOC_Os01g04340,-4.157109722820589,0.004853623045423648
LOC_Os01g04350,3.2848064268544923,1.5522276591376394e-15
LOC_Os01g04360,-3.1934511329520694,8.892093369432626e-38
LOC_Os01g04370,-1.080709959881355,5.757290083507094e-7
LOC_Os01g04380,-5.632752125958053,9.857912759653699e-202
LOC_Os01g04390,-0.6103521020812707,0.028435891736258077
LOC_Os01g04430,-0.6749335907258196,0.0031928581701693676
LOC_Os01g04580,3.121607730031214,3.7841026008154816e-17
LOC_Os01g04620,3.9477261378141746,5.352701470961423e-7
LOC_Os01g04630,-1.0321282681803698,4.233537529935048e-9
LOC_Os01g04640,4.503421665871035,0.014394841157560276
LOC_Os01g04670,1.0529825213528012,0.016321127356224853
