,log2FoldChange,padj
LOC_Os01g01010,1.6650780087537576,6.797268536143841e-5
LOC_Os01g01040,1.035464325031898,1.3381638940401353e-8
LOC_Os01g01050,1.204710343325472,8.655824992896166e-14
LOC_Os01g01070,1.7660645698773554,4.155448100712907e-10
LOC_Os01g01080,0.9952405687034442,3.451510337902179e-10
LOC_Os01g01115,1.3325540572641104,0.005052141238706983
LOC_Os01g01120,-0.4086133275189831,0.009457606272891871
LOC_Os01g01130,0.6610499623822716,0.0022664554643380716
LOC_Os01g01150,1.885209099132433,6.432225174680212e-13
LOC_Os01g01170,1.8651068890584046,2.3401813724751734e-4
LOC_Os01g01190,-0.962334514137742,0.00477667324703679
LOC_Os01g01250,-1.3326144003295397,0.031804092088899664
LOC_Os01g01260,-3.086690040595662,0.021625155870149196
LOC_Os01g01280,-2.0762285460579957,1.420298983062645e-18
LOC_Os01g01290,1.5667084150844535,1.5333121759723373e-11
LOC_Os01g01302,-1.083706764057251,3.0279231196455203e-4
LOC_Os01g01312,2.2142685913656464,6.657300069634655e-22
LOC_Os01g01330,-0.9677597518967104,5.260325833446361e-4
LOC_Os01g01340,-1.1219954827134258,1.6328835176667248e-11
LOC_Os01g01350,1.2517531463776044,8.249037275130539e-7
LOC_Os01g01360,-1.0583971951467714,0.012241008074313869
LOC_Os01g01380,1.8849140859088864,3.0593093710760115e-4
LOC_Os01g01390,1.0763916344213285,2.5652137685090413e-8
LOC_Os01g01410,0.7682017396830931,0.001284117385094222
LOC_Os01g01420,0.6238792124427752,0.011539189760138544
LOC_Os01g01450,-0.9596511883710221,0.0017758043301546297
LOC_Os01g01484,1.7678623761210566,1.5458840374125865e-9
LOC_Os01g01510,1.3932278445988422,7.792293254780527e-6
LOC_Os01g01520,-0.6345874683757647,1.3601641543580203e-5
LOC_Os01g01580,-1.0756437085227935,5.300584330290048e-8
LOC_Os01g01620,-0.6900074725626105,4.0251032803659736e-4
LOC_Os01g01640,-0.7417497391977967,3.7542636856079377e-6
LOC_Os01g01660,-1.9913325002200246,7.286587708583323e-11
LOC_Os01g01670,-0.6253075115159978,7.641311631025871e-4
LOC_Os01g01689,1.5061102463490386,1.1026932741139958e-5
LOC_Os01g01720,-0.8490269029040244,1.668310034030738e-4
LOC_Os01g01760,-2.355796712481828,0.006896296891324039
LOC_Os01g01770,-2.0194200481016744,0.003659449004558638
LOC_Os01g01790,1.429844370250612,2.417822375583858e-14
LOC_Os01g01800,2.0051124385775636,6.117141930793043e-24
LOC_Os01g01830,1.7410721406326481,5.648809574504118e-15
LOC_Os01g01890,-0.5345499837349517,2.087318652588514e-4
LOC_Os01g01910,-1.310894114794276,3.2588355603473286e-4
LOC_Os01g01930,-0.5957680446451897,0.0026178988702911716
LOC_Os01g01960,1.935623782562695,6.811512662521906e-7
LOC_Os01g02000,-0.923509887072786,0.045893007656503906
LOC_Os01g02020,0.49648213935237007,0.0436226317222735
LOC_Os01g02040,0.7143684805392071,0.0032357880024277467
LOC_Os01g02060,-2.5084262187631183,5.880998252414528e-13
LOC_Os01g02070,-3.3009069441206202,0.003711560331069773
LOC_Os01g02080,-2.3664409052365523,8.450236899396511e-89
LOC_Os01g02090,0.3457827985026235,0.04621296192275325
LOC_Os01g02100,1.8589094519583313,3.2167968785348955e-16
LOC_Os01g02120,-2.165842450350084,2.9397639351539745e-29
LOC_Os01g02139,-1.9449081274134585,4.269184282144891e-11
LOC_Os01g02150,-1.1100726758519108,0.002671640400388714
LOC_Os01g02160,-1.4969562144872206,2.9909744606019385e-5
LOC_Os01g02170,-0.5565120512599008,0.003589365680426361
LOC_Os01g02180,1.6211442487107024,2.416926032513076e-16
LOC_Os01g02200,0.9382387586238384,1.697377966347463e-16
LOC_Os01g02290,1.6134915167416781,0.0014827190122645307
LOC_Os01g02300,2.184712586957339,4.946513568013155e-8
LOC_Os01g02320,2.2865090328156814,1.1448761212607594e-6
LOC_Os01g02350,1.2122228952138188,0.015276412261028334
LOC_Os01g02360,2.754275324420598,0.0017239858363347902
LOC_Os01g02390,1.965670910657869,4.6948161056445707e-4
LOC_Os01g02400,1.177720124465476,0.020618723050279123
LOC_Os01g02420,1.1664082695960538,0.003672469385074627
LOC_Os01g02430,2.5025467988026158,1.9870220786071667e-5
LOC_Os01g02440,2.802085721811754,0.03449603340898606
LOC_Os01g02450,1.440986882978282,0.010435024662985256
LOC_Os01g02470,-1.6722319849287561,1.3210563497955958e-13
LOC_Os01g02690,1.7447499695486899,0.02254630633891136
LOC_Os01g02700,1.995505564430944,1.7153893441444447e-7
LOC_Os01g02710,1.7079456720475072,0.007003835051451538
LOC_Os01g02720,2.112144687893499,1.7956571486239445e-21
LOC_Os01g02750,1.8772697069620943,0.032710587230643295
LOC_Os01g02760,2.762978862844136,5.284338839933611e-5
LOC_Os01g02830,3.2298172355683943,0.01462627188586715
LOC_Os01g02850,2.4762349114873614,0.016815453093260276
LOC_Os01g02860,1.4680002459683392,0.00721555239160593
LOC_Os01g02870,-0.7271702161639779,4.4844384272173254e-4
LOC_Os01g02884,1.7010595694642232,5.832810068464637e-6
LOC_Os01g02890,1.7107718543453678,0.027002816540638148
LOC_Os01g02900,-1.6145744506566373,1.906480041058514e-13
LOC_Os01g02910,-1.744721615242407,1.530575083035237e-14
LOC_Os01g02920,-2.4882592458801094,1.4530523548877072e-45
LOC_Os01g02930,-1.151560173670433,0.01453209980406046
LOC_Os01g02940,-1.1429569550120318,8.297144770677192e-20
LOC_Os01g03020,1.855824272823657,5.864824582936916e-6
LOC_Os01g03040,-1.1137269159629086,3.187184055393314e-8
LOC_Os01g03060,1.0148590927845347,8.432377692777063e-13
LOC_Os01g03070,2.249690085293294,7.669422084752458e-18
LOC_Os01g03080,-3.02943452654764,8.793068606241996e-153
LOC_Os01g03110,1.7325103732759919,4.4550189482940854e-27
LOC_Os01g03130,-2.789013512671199,7.169718056927025e-10
LOC_Os01g03144,0.3255233782977991,2.451785199362626e-4
LOC_Os01g03160,0.7455811070870946,5.989971492619707e-10
LOC_Os01g03170,-1.6990055648415443,0.038657181447222806
LOC_Os01g03180,-1.6748116543849565,7.428690627043596e-14
LOC_Os01g03190,-1.2724770883048997,1.308110215221649e-4
LOC_Os01g03270,-1.8866559822269993,0.01056341442311524
LOC_Os01g03330,-2.001332198794794,1.6076101256883805e-8
LOC_Os01g03340,-2.0599719982033653,1.143970294075789e-9
LOC_Os01g03360,-2.415234429818141,1.317639089747174e-19
LOC_Os01g03390,-2.2712846118191523,5.850071092266218e-9
LOC_Os01g03480,1.5622089512960033,0.028271063114750385
LOC_Os01g03500,0.8905310665005354,7.701613455342459e-4
LOC_Os01g03510,1.349605989657768,7.80428098951975e-10
LOC_Os01g03520,1.8781121062841617,2.785693894897255e-12
LOC_Os01g03549,-1.5896440322456478,1.628506177187049e-8
LOC_Os01g03570,1.9374706571246252,2.0541803334152945e-16
LOC_Os01g03650,0.8170842988007513,0.007070572938525511
LOC_Os01g03670,-2.854480081135124,0.0019576050729198206
LOC_Os01g03680,-2.499992898226141,4.022992755111819e-23
LOC_Os01g03690,-1.258982893794979,5.040860909339259e-6
LOC_Os01g03720,-1.801456446076611,0.007894523623690747
LOC_Os01g03740,-1.8645706388484675,2.7191218877251414e-5
LOC_Os01g03760,0.36362562188244024,0.006275817918990826
LOC_Os01g03820,1.956918165864225,5.873645592870681e-4
LOC_Os01g03870,-0.7988833446888419,1.0813885542874631e-7
LOC_Os01g03890,-2.1280993958521957,2.0382127563546382e-6
LOC_Os01g03914,-0.8553655128624514,1.0896557749963416e-13
LOC_Os01g03940,-1.1068144370991622,0.010688078317225853
LOC_Os01g03950,-1.8109384982655972,3.736757312705039e-10
LOC_Os01g03980,-1.6047727594553285,5.389616995543176e-11
LOC_Os01g04010,-1.5316708818940439,5.155434501432006e-11
LOC_Os01g04020,-1.1171422702619729,6.5365289641712886e-24
LOC_Os01g04030,0.7237486842759592,2.164204327245869e-4
LOC_Os01g04070,1.972193501120145,0.009241235452199691
LOC_Os01g04080,-1.209847402842576,0.011640970929122056
LOC_Os01g04160,1.4203795963379227,4.80250121462765e-7
LOC_Os01g04170,-1.99598010817764,1.924063428740617e-16
LOC_Os01g04200,0.8185259290315303,1.3089048498978173e-9
LOC_Os01g04230,-1.897941518511607,2.3298894510666824e-13
LOC_Os01g04250,1.069892279576384,0.002583055283782913
LOC_Os01g04290,-3.877928131305351,0.008566853018833807
LOC_Os01g04300,-1.236514861549752,0.0014264297667293915
LOC_Os01g04330,-1.649172408184226,3.451799507955454e-12
LOC_Os01g04340,-2.660662876398764,1.3592467901467323e-34
LOC_Os01g04350,-2.170252083859244,6.536763160697059e-9
LOC_Os01g04360,-1.8678558934899816,2.988256505978045e-25
LOC_Os01g04370,-0.8612121361787586,4.7371270661450884e-5
LOC_Os01g04380,-1.0185036934407887,3.6441239932193464e-10
LOC_Os01g04390,-1.157423218247322,2.582696879514783e-6
LOC_Os01g04409,1.3353543177648504,0.012379586125668803
LOC_Os01g04430,-0.9941790831504479,2.9561460886939646e-6
LOC_Os01g04450,-0.8824991037529785,0.0034593938270364656
LOC_Os01g04460,-0.8797058541511646,4.7572543516660157e-4
LOC_Os01g04550,1.0931761452716506,0.047509042232473805
LOC_Os01g04580,-1.842973940513414,1.8992453297572413e-8
LOC_Os01g04620,-2.6189255095751713,1.7117153957748797e-5
LOC_Os01g04630,1.194048877072852,3.293881216567158e-11
LOC_Os01g04660,1.6399797683527844,0.00487561459875409
LOC_Os01g04670,-1.4584774453740679,1.026012294205605e-4
LOC_Os01g04690,-2.0568264602594675,0.028869825344705446
LOC_Os01g04710,-1.8485809597206122,2.724027997222912e-7
LOC_Os01g04730,-1.1654398441993177,1.2830813801014682e-8
LOC_Os01g04800,-2.397164611077921,4.444853641582677e-37
LOC_Os01g04814,0.36288249886608087,4.1419543754801776e-5
LOC_Os01g04860,1.336322785975917,8.998549087454157e-4
LOC_Os01g04870,1.100441872662982,0.0067796604457038
LOC_Os01g04910,-0.25785586771678226,0.03586186722168558
