,log2FoldChange,padj
LOC_Os01g01010,-0.38084296532977113,0.03481118865531537
LOC_Os01g01280,0.48422253212572947,0.011553318570417448
LOC_Os01g01840,1.78524788231718,2.493776719919744e-4
LOC_Os01g01870,0.6522457475423782,0.0021674589591564857
LOC_Os01g02050,0.9006068581353462,0.010538359091661387
LOC_Os01g02100,0.4029077252497687,0.014369442876347635
LOC_Os01g02130,1.7096149379812835,0.004097989351486391
LOC_Os01g02300,1.2991763851410398,0.0284645512518351
LOC_Os01g02470,1.9140336949042145,4.558758192785908e-5
LOC_Os01g03130,1.6865345779484857,4.5971939975205237e-7
LOC_Os01g03310,2.169311570409985,6.492754159868397e-8
LOC_Os01g03320,2.754030090378011,1.7423686893653066e-7
LOC_Os01g03640,-3.060019891270321,0.024109284084141237
LOC_Os01g03940,0.9185048514918075,0.018524768310621727
LOC_Os01g03950,0.6011494757307053,0.03648941710195235
LOC_Os01g04050,0.5962928177516379,0.030867869636934737
LOC_Os01g04280,2.142136853301472,8.496853121907815e-17
LOC_Os01g04324,0.6433750064546577,0.04797193166118697
LOC_Os01g04330,2.7907430420596926,1.5975043126847176e-7
LOC_Os01g04370,1.8236311324162264,0.04082568071805066
LOC_Os01g04580,0.7394562356351385,0.028852168173596093
LOC_Os01g06310,-2.9529258432593175,2.1749748042001407e-12
LOC_Os01g06740,1.721489090033402,4.804242888749757e-5
LOC_Os01g07170,0.6357826118937855,0.041922968249937284
LOC_Os01g07530,0.3672801255160363,0.04318495948028353
LOC_Os01g07700,0.31423407410626947,0.02298398789289779
LOC_Os01g07920,-0.6768912003760599,0.026190008041812964
LOC_Os01g08530,3.076390172833035,1.6628626254512965e-46
LOC_Os01g08880,-0.48128633816165245,0.04302676399488989
LOC_Os01g09010,0.2524066943875257,0.032790161283765176
LOC_Os01g09150,2.0146319847983967,0.006308241519540201
LOC_Os01g09190,1.695350581492426,0.0019054442557835222
LOC_Os01g09220,4.32924839559162,1.574087641602706e-5
LOC_Os01g09370,-0.33999719971838305,0.04082568071805066
LOC_Os01g09384,-1.5240737418991417,2.21199246436765e-9
LOC_Os01g09650,6.836617448091324,2.0616255946677353e-6
LOC_Os01g09870,2.3247165653231208,0.021125304184429147
LOC_Os01g10260,2.1171155734987646,0.007954458188404024
LOC_Os01g10440,1.4994672223241698,7.842697048654286e-5
LOC_Os01g10450,-0.33762450700042146,0.022390763193965307
LOC_Os01g10610,0.4586033717191992,9.006615098613316e-4
LOC_Os01g10890,-0.7426758225499202,2.76884624432968e-6
LOC_Os01g10990,1.1389625877653007,8.043013537279912e-4
LOC_Os01g11054,0.49008914922662367,0.04059857673765183
LOC_Os01g11150,2.0285071749618866,0.04643072455142207
LOC_Os01g11160,1.1287223296784339,3.7279121303653267e-4
LOC_Os01g11520,0.764011863480713,0.004646168009389089
LOC_Os01g12000,-0.9105103749308022,0.019385517281083724
LOC_Os01g12070,-1.344326194122409,0.02661790974425383
LOC_Os01g12190,-0.818956013677236,6.126035697028277e-4
LOC_Os01g12210,-1.2498768134347906,0.018297903737372848
LOC_Os01g12770,1.6018763311281632,0.009492635370016659
LOC_Os01g12790,-1.1410254020904238,1.4976167174343642e-4
LOC_Os01g13120,0.9603947595655408,0.03842497193503285
LOC_Os01g13610,5.104140972344283,1.6527258500155526e-6
LOC_Os01g14440,0.8700564827301919,0.0024052510038565025
LOC_Os01g14770,-0.5184472910432194,0.001069586096730509
LOC_Os01g15100,2.221104698312064,0.004206485963990254
LOC_Os01g15540,-0.8832167691451189,3.086777454640778e-6
LOC_Os01g15640,-0.6598366967664998,0.009375103617102518
LOC_Os01g16124,-0.37663498710494614,0.03481118865531537
LOC_Os01g16146,0.5670587326763441,0.02426361037162988
LOC_Os01g16200,2.162642854119389,3.4432585720911e-20
LOC_Os01g17050,3.1651298516030053,3.3644259065189354e-7
LOC_Os01g18584,1.0007378290020092,1.174787205040805e-5
