,log2FoldChange,padj
LOC_Os01g01840,1.4382151240359697,0.030231472595510605
LOC_Os01g08530,7.119783616977082,7.547658997406134e-7
LOC_Os01g16320,7.2916463574083945,0.0015737295904295423
LOC_Os01g32610,1.82734557811325,0.005101552661965363
LOC_Os01g32700,6.274331239276187,0.0012205240617559159
LOC_Os01g37580,6.834843105934814,0.002391113304146495
LOC_Os01g37630,-1.0979398624676304,0.001027241689241601
LOC_Os01g40480,2.02114489519227,8.477759374826378e-14
LOC_Os01g42150,4.2295131402578905,1.0796723852726907e-5
LOC_Os01g42210,1.8287001588078686,2.0240696742006239e-7
LOC_Os01g46860,6.888528126285288,5.143074740517031e-5
LOC_Os01g48620,2.98493464536144,0.0054318449890564035
LOC_Os01g49750,6.758816417945474,2.971427454951897e-42
LOC_Os01g57510,6.023298789879215,1.998175330113494e-5
LOC_Os01g58780,-0.8052741457862963,4.331824311349619e-6
LOC_Os01g60890,8.142367911647789,6.297129290738453e-7
LOC_Os01g62540,6.313838653872725,1.2143669930050629e-4
LOC_Os01g62740,11.370442646606428,1.8103332452310886e-17
LOC_Os01g64949,2.487182212215855,1.1303238908059628e-12
LOC_Os01g67200,7.603168249601242,4.150857496469238e-19
LOC_Os01g70490,2.031417286196888,2.9090031749043106e-5
LOC_Os01g71840,4.953811823495871,3.135639214623193e-20
LOC_Os10g01500,6.663083719297281,7.501606710543501e-4
LOC_Os10g04510,2.1583254972185566,1.5890940977803423e-5
LOC_Os10g04890,-5.311578682391369,1.9556886881577486e-7
LOC_Os10g06680,2.6426846963973882,0.005509647096823534
LOC_Os10g09320,6.343246917848399,0.0044100059466582455
LOC_Os10g11100,3.2680559504711946,1.6457088714868844e-10
LOC_Os10g28350,2.1892033718654735,7.957067584861656e-4
LOC_Os10g29650,-2.105458344973322,7.258944343578662e-46
LOC_Os10g35330,1.1667944693799408,0.030742021132987827
LOC_Os10g36972,4.846639620101089,0.001367500721567066
LOC_Os10g41838,6.910754820989384,1.4432064185371443e-32
LOC_Os11g01690,8.339276650519864,0.01207401527684781
LOC_Os11g02220,5.247643704197137,0.0324353700615353
LOC_Os11g03540,1.8847586896286581,1.6886333482757016e-4
LOC_Os11g10640,0.6155017981971049,1.8259178090903846e-6
LOC_Os11g10710,2.570871915765616,5.110230925469889e-14
LOC_Os11g11694,11.110646161497176,1.6286017389233443e-13
LOC_Os11g15170,1.91416201700809,0.002013154305852565
LOC_Os11g17330,2.37115225954232,7.415055665882897e-7
LOC_Os11g17954,5.700804703376796,2.253959233376e-25
LOC_Os11g20330,-2.365319630227479,2.459790268279912e-18
LOC_Os11g24790,1.088121244952366,0.04212940102566449
LOC_Os11g25210,5.884006758499249,2.748198676805893e-4
LOC_Os11g29920,0.7244917752315894,0.041601999514249456
LOC_Os11g30120,2.084016758943758,0.009078412024002178
LOC_Os11g30130,1.2357474493467695,0.003966997839793184
LOC_Os11g31050,7.871881030654596,0.0015457271069194288
LOC_Os11g35300,4.015909129577845,1.4519969496336062e-13
LOC_Os11g37140,8.862890693261654,1.529600387799124e-8
LOC_Os11g39350,2.8493632178866726,5.2587164223139606e-8
LOC_Os11g40340,1.3216400180221082,0.023338189837236
LOC_Os11g41630,7.278070876833148,1.9168019540261733e-5
LOC_Os11g44690,2.9038280221931267,3.412996906309309e-4
LOC_Os12g02210,3.7981650127390645,1.8763259401432954e-41
LOC_Os12g05220,4.1082798782673535,8.54546999336935e-19
LOC_Os12g05290,2.4862383490892306,0.001367500721567066
LOC_Os12g07180,4.4002286309994325,1.9280345446440798e-10
LOC_Os12g12190,8.85977732790287,1.7661951081011575e-6
LOC_Os12g13340,1.7890458895437213,9.634841275374518e-4
LOC_Os12g15240,-1.0050431900005972,0.001801137860938846
LOC_Os12g15780,9.169748526001511,1.9415667738368408e-10
LOC_Os12g17430,1.526846547177311,1.055230909038374e-15
LOC_Os12g21784,-1.6370986553012152,0.01622062028092443
LOC_Os12g24050,12.93088450830307,2.704489889907888e-23
LOC_Os12g24790,2.0195698225926177,1.4740445690372808e-4
LOC_Os12g25350,2.606878502770358,1.900883070071262e-9
LOC_Os12g32390,5.588155160688151,1.1807752158560366e-18
LOC_Os12g33194,2.836193046896313,1.3744816027181429e-9
LOC_Os12g34390,1.3956888171013444,1.063273214761815e-5
LOC_Os12g34400,0.4279115666719306,0.010307755046021947
LOC_Os12g35310,6.264922703496225,8.110416619317057e-5
LOC_Os12g38720,-2.5712256126373823,2.152276482554716e-4
LOC_Os12g43970,1.8639636851183756,0.0015777089755712398
LOC_Os12g44280,6.445432772872122,0.004120382724076543
LOC_Os02g01840,-4.058993190322096,0.00101485787798601
LOC_Os02g05000,-1.2057755408633042,2.2795576219563053e-5
LOC_Os02g06630,2.4471349842018677,1.312074468953771e-7
LOC_Os02g12470,8.669342401560257,2.474144581734183e-9
LOC_Os02g14720,1.0052741833601302,3.0097574556513636e-6
LOC_Os02g15350,7.562741506480369,9.539506273808163e-9
LOC_Os02g28180,2.580081911950034,1.5592671810567348e-6
LOC_Os02g34190,-1.8390171243727862,1.954154215383209e-19
LOC_Os02g40440,5.173326535301398,0.00814694048137648
LOC_Os02g49640,4.579718734650926,3.586353970368613e-11
LOC_Os02g52730,6.815051937911605,6.782263723080786e-14
LOC_Os02g53240,9.331608201182055,4.897107745494357e-21
LOC_Os02g58370,2.689872993233834,1.0112455049535856e-5
LOC_Os03g02470,12.103321464603438,1.1724876081591203e-24
LOC_Os03g04760,3.847950264931378,4.9844777414197544e-5
LOC_Os03g05870,-0.9981919369781145,1.0388892794016352e-6
LOC_Os03g06379,0.49689862365721704,1.4729520485589885e-4
LOC_Os03g06460,-1.0021704741028494,0.038133309395483095
