,log2FoldChange,padj
LOC_Os01g16920,4.161183967276536,2.3892107663609125e-5
LOC_Os01g19460,1.3439308665171426,0.009074295408210711
LOC_Os01g19820,1.3741138262398704,5.435209503280512e-5
LOC_Os01g23710,-1.4105224415062978,2.6884668450130513e-05
LOC_Os01g29804,1.84692261675621,2.117017362233773e-4
LOC_Os01g32670,2.336957150607829,0.022204198703387246
LOC_Os01g32700,5.132634629576653,0.03870570582206853
LOC_Os01g42210,2.8410680499256786,1.295717540372892e-11
LOC_Os01g49630,-3.2928580228475823,0.006015788099005817
LOC_Os01g49750,4.981779999995229,8.719413635080401e-26
LOC_Os01g53450,0.7421359173153375,0.0034056599771588344
LOC_Os01g53779,-1.1299676926252131,0.03365116027158988
LOC_Os01g58780,-0.6849493292924284,7.577922274736611e-4
LOC_Os01g60890,5.890946072058603,0.003337218183279375
LOC_Os01g62540,9.773176551400216,1.869258912544941e-12
LOC_Os01g62560,5.9209785013868546,0.006998752229417479
LOC_Os01g62740,8.124581919945882,1.8849435100350318e-8
LOC_Os01g64949,2.939770898951811,1.89543379472309e-36
LOC_Os01g65110,3.5001777354316856,3.089805527452296e-14
LOC_Os01g67200,4.562013395734764,1.0757056511980121e-29
LOC_Os01g71840,4.807946394083653,5.984703285934298e-28
LOC_Os10g01500,6.213339403322782,0.0027999798534189477
LOC_Os10g04890,-6.029855156658808,6.506410565830183e-4
LOC_Os10g11100,3.16218347796048,2.816914629570211e-10
LOC_Os10g27060,-0.5396617702578616,0.02744165174364194
LOC_Os10g28350,4.416873367790552,1.6223311036805108e-17
LOC_Os10g29650,-1.8126373864615144,1.305800760012974e-33
LOC_Os10g34310,1.0097882663797735,0.027896094128264794
LOC_Os10g35160,6.109973801307209,0.03172336611009781
LOC_Os10g41838,4.533320261664433,9.014367215505715e-22
LOC_Os11g02220,6.277164982196465,0.0013907981813410031
LOC_Os11g10300,1.1692244460133543,0.04048520825134946
LOC_Os11g10640,0.7192984616594941,4.2165533619158084e-8
LOC_Os11g10710,2.7454234160938005,8.2624537203194e-17
LOC_Os11g11694,10.145519821742257,4.700136453916598e-11
LOC_Os11g17330,1.7867317583871254,3.405620563491194e-4
LOC_Os11g17954,6.641322467181016,2.2074797719787907e-31
LOC_Os11g20320,-5.862435630342029,0.0038531512491470003
LOC_Os11g20330,-2.405714183816248,3.869461811266912e-19
LOC_Os11g20384,-0.5613821177210372,3.133283055049726e-4
LOC_Os11g25210,6.250788153751314,0.0010100107818190743
LOC_Os11g29910,5.552947093016728,0.005000673292666452
LOC_Os11g29920,1.6743644587935997,2.968601108237585e-10
LOC_Os11g30120,6.780962266111494,3.3327002442528474e-5
LOC_Os11g34710,5.779563318000209,0.001499667448725991
LOC_Os11g35300,5.985013965708012,2.2242608898394495e-18
LOC_Os11g36100,6.414025342536376,0.0019430869008834856
LOC_Os11g36830,0.6680373142401712,3.342437808185012e-5
LOC_Os11g37140,5.568790709132798,0.007989272884963884
LOC_Os11g39670,-0.9432968147600622,0.019972345505373707
LOC_Os11g40340,2.0797653314853792,4.829887498124142e-6
LOC_Os11g41630,7.10729973183097,4.042758650073547e-5
LOC_Os11g41680,2.651221075115231,0.0031798086328528722
LOC_Os12g02170,6.795264270062711,0.02838473352183867
LOC_Os12g02210,6.94878367965749,4.106525544416649e-21
LOC_Os12g03840,6.893881705562487,0.002374024652866669
LOC_Os12g05220,8.699123095751935,4.5426839020562163e-10
LOC_Os12g05290,4.316341750341511,1.57297856028366e-7
LOC_Os12g07180,5.3287986148657644,1.0185622687055904e-16
LOC_Os12g12190,8.046250962829484,3.6196530854141465e-5
LOC_Os12g14530,7.5148476944750975,0.04371740544686564
LOC_Os12g15780,6.797073040571575,2.958610915585386e-5
LOC_Os12g17430,0.7378256141766315,0.004244579254469883
LOC_Os12g21784,-1.5472667086787153,0.03374376463234438
LOC_Os12g21940,1.7424297734531204,0.001123311838722003
LOC_Os12g21950,7.254766618653795,1.9522348597395046e-4
LOC_Os12g24050,9.308369175630117,1.3775539780969477e-52
LOC_Os12g31860,1.6690983702344138,0.004546077299643731
LOC_Os12g32390,4.221098619561652,9.186696231388148e-22
LOC_Os12g33194,1.484210985629523,0.03369046553400138
LOC_Os12g35310,3.872997773853748,1.1734141913176807e-11
LOC_Os12g36490,5.5976039500498365,0.006998752229417479
LOC_Os12g36750,1.435709370256998,0.013240023986399879
LOC_Os12g38720,-3.6422443101998967,3.4242056042746104e-9
LOC_Os12g44280,6.556039754858034,0.0030766491351858615
LOC_Os02g06770,-0.649065282732241,0.008049407664021317
LOC_Os02g10780,1.2761329183263213,3.6121784333692905e-5
LOC_Os02g12470,6.249937851357478,2.3432153561296626e-4
LOC_Os02g15350,4.366236325641041,1.8129917926582476e-4
LOC_Os02g28140,6.523674400750459,0.0019910027475634174
LOC_Os02g28180,4.775688374615064,7.324865046523382e-11
LOC_Os02g31230,2.895698845149197,0.03664036185704854
LOC_Os02g34190,-1.7863247541882281,6.67532343989184e-18
LOC_Os02g49640,6.50691148645858,5.1126817618525425e-18
LOC_Os02g52730,5.491882880806016,4.733959947916005e-9
LOC_Os02g53240,7.510136222454524,1.2035226951445336e-42
LOC_Os02g58350,2.229383897924493,5.923282515062697e-5
LOC_Os02g58360,1.6273627881203296,1.4841398005900773e-5
LOC_Os02g58370,3.2266519336973456,2.8376339130837675e-9
LOC_Os02g58380,4.2263803601593715,4.224636217314088e-5
LOC_Os03g01620,-1.568754851163153,0.01030512790299521
LOC_Os03g02470,9.662279601467718,3.1130224071781434e-52
LOC_Os03g04760,3.543950020194632,5.925203619962254e-4
LOC_Os03g05870,-1.2598708522640811,3.230598235210821e-11
LOC_Os03g06379,0.4555488556393104,0.001123311838722003
LOC_Os03g10290,4.068736148381566,2.837939221472417e-23
LOC_Os03g11160,-1.9999110678810503,4.760530226578387e-4
LOC_Os03g14820,4.7699589101980795,1.443111491857859e-10
LOC_Os03g17410,4.369285490148998,1.25136808883047e-10
LOC_Os03g18779,12.646746907426172,3.7943200765724295e-19
LOC_Os03g19600,2.6574953545630033,0.0018619505368998976
LOC_Os03g20740,-2.8830449054500527,8.282993220478094e-11
LOC_Os03g22130,3.2527720452430984,3.3327002442528474e-5
LOC_Os03g27400,6.070499058021398,0.007989272884963884
LOC_Os03g32526,1.5626676482224993,0.0021193941753653734
LOC_Os03g37140,5.598112711914261,1.468681404339333e-11
LOC_Os03g40080,5.8237018162989855,1.442331248095744e-9
LOC_Os03g42380,-1.8610201209762338,0.020294030148648976
LOC_Os03g43100,9.30758403278534,2.8719950518986313e-31
LOC_Os03g43130,6.7493464217012455,5.151145231102839e-5
LOC_Os03g45000,5.846951746208516,0.03912946446454888
LOC_Os03g50670,6.328967244976328,1.734434938854436e-6
LOC_Os03g53410,6.4094885344365125,0.002036116470810083
LOC_Os03g53680,8.441493606649471,6.535679359930774e-9
LOC_Os03g53690,2.588405556339107,1.6141020148477718e-5
LOC_Os03g55014,5.699177340775365,0.02366167800935061
LOC_Os03g59190,4.748855982750432,2.2252438185564446e-141
LOC_Os03g60080,4.469652133436364,4.483441938442459e-58
LOC_Os04g01580,8.395177784531318,1.3066907596016372e-8
LOC_Os04g02590,-3.3844727878021845,0.0034290768045006927
LOC_Os04g08630,7.71179357096517,1.6115268523037536e-10
LOC_Os04g09860,3.4681184715213487,8.77734860840121e-6
LOC_Os04g18400,11.29523597300946,1.7802776915105024e-36
LOC_Os04g18770,5.436906517368975,2.6382287753308065e-18
LOC_Os04g18780,4.415729859435965,5.435209503280512e-5
LOC_Os04g21110,1.3452855706914364,1.6493887094038054e-5
LOC_Os04g28820,-1.4493918153471914,0.0034290768045006927
LOC_Os04g32080,8.289950233710323,7.316868761835106e-8
LOC_Os04g32610,8.530743239941154,5.164867388506337e-9
LOC_Os04g34190,2.3953043023991,1.7395723724725062e-7
LOC_Os04g34490,2.8194959005271443,4.363111905976167e-7
LOC_Os04g34500,7.194419240724842,2.2752262796001474e-61
LOC_Os04g42120,-4.365358017296077,6.19673172742509e-50
LOC_Os04g48150,5.441241963814312,3.671759663120195e-4
LOC_Os04g52790,7.638012812856882,3.1868165384793584e-7
LOC_Os04g57250,9.088221600598096,9.529856898052592e-10
LOC_Os04g58050,2.8745053187099487,9.204032774043803e-16
LOC_Os05g01010,0.9730431844447722,0.003656039764199551
LOC_Os05g06814,-0.9741493790703591,3.4357899059708405e-4
LOC_Os05g10740,1.1985385166854408,0.012444441485724225
LOC_Os05g12120,5.880054802735576,0.0010931423642775173
LOC_Os05g17830,7.079581424620678,9.95639049188682e-4
LOC_Os05g23050,8.769805929263876,1.7816561926055773e-10
LOC_Os05g23950,2.0547344447177625,1.91627365327668e-8
LOC_Os05g34490,6.070113850760136,4.760530226578387e-4
LOC_Os05g45170,5.898372899192283,3.3265586409853774e-10
LOC_Os06g04930,6.298619371207638,0.025103038298338477
LOC_Os06g07420,4.80517900682933,0.024474258530418663
LOC_Os06g13690,6.690515798469869,4.133866039532865e-5
LOC_Os06g13700,4.498229241784092,1.1963580074636342e-22
LOC_Os06g14870,4.06474293122385,8.419164035318179e-4
LOC_Os06g15610,5.971165908086357,0.007989272884963884
LOC_Os06g21369,7.208252007959441,2.0486368923314872e-43
LOC_Os06g25250,-1.1496596789228464,0.0057805454922923195
LOC_Os06g26270,-3.5280298742038974,5.077122735912565e-12
LOC_Os06g30090,6.609770671411173,6.545015212009702e-14
LOC_Os06g32580,7.725086886999439,1.9561104033410228e-7
LOC_Os06g32590,7.966841305937546,6.870019552845314e-8
LOC_Os06g34550,4.516797152704552,1.6188722387642943e-6
LOC_Os06g36940,-1.3593251077976012,0.007989272884963884
LOC_Os06g40020,4.407998648238631,0.001554199299059887
LOC_Os06g40240,5.907536202771003,1.0874518284080062e-43
LOC_Os06g49350,4.366817690184853,1.6719651609716557e-24
LOC_Os06g49930,-0.6474615034229676,5.923282515062697e-5
LOC_Os07g01904,2.47401048973164,2.6056256204982348e-54
LOC_Os07g03040,3.608711729314311,6.975051237870379e-7
LOC_Os07g05450,4.379989347661231,0.002690244135049387
LOC_Os07g05800,-1.9791295181639492,0.008057727784147706
LOC_Os07g10850,3.948876015727597,3.5874690136625963e-107
LOC_Os07g13770,1.0669953537596197,0.025841114619211982
LOC_Os07g13830,-4.025917932945705,0.005895136100707257
LOC_Os07g25050,3.6684974872870755,1.0860917322441261e-4
LOC_Os07g26100,10.91654332845228,8.2624537203194e-17
LOC_Os07g27350,0.9668795789231271,2.1562910595434829e-10
LOC_Os07g34510,3.024723105174721,1.9829944259402614e-21
LOC_Os07g39450,9.535075922055757,7.940317835306544e-17
LOC_Os08g02000,0.772800786651011,0.02654469165302519
LOC_Os08g04580,6.986324835704508,1.7834290974446868e-4
LOC_Os08g09380,6.28168378959982,0.019927133867783334
LOC_Os08g09420,1.7352603654107555,3.040876552552208e-9
LOC_Os08g09990,1.471965486342374,4.2755584594206295e-5
LOC_Os08g10612,9.19176921402089,2.504769569572317e-10
LOC_Os08g11200,1.7426818377062445,2.2081502753124662e-4
LOC_Os08g14195,7.952915690167836,1.3897156792522719e-22
LOC_Os08g14880,1.8313646278857396,3.004020555881734e-43
LOC_Os08g14890,-2.222760334551656,1.3638685084892216e-5
LOC_Os08g14900,-3.8345154518164484,0.0018359663509724842
LOC_Os08g14950,4.2775774120044074,3.3586130669625302e-06
LOC_Os08g15190,2.310242180436057,0.009074295408210711
LOC_Os08g19694,3.1743547028874515,8.670891408314438e-4
LOC_Os08g22660,6.07988565443271,2.117017362233773e-4
LOC_Os08g22670,5.803271743169356,0.02448828438327516
LOC_Os08g22680,4.560695795212874,0.0011088860689091008
LOC_Os08g22690,5.764161081118869,5.763971821288545e-7
LOC_Os08g27870,5.412621721720988,3.405620563491194e-4
LOC_Os08g29580,1.5192301432151443,0.004199948237873184
LOC_Os08g38800,3.417016345733636,1.961349996477227e-24
LOC_Os08g41590,-1.9652202333796323,6.20777999642872e-4
LOC_Os09g19140,2.205596316094153,0.0018359663509724842
LOC_Os09g37320,1.7202623576660943,0.048327876078759865
