,log2FoldChange,padj
LOC_Os01g01340,1.1473061551310466,2.0629263346060198e-5
LOC_Os01g03040,-0.8534825973138142,0.020948201571299348
LOC_Os01g03144,-0.4733706149992346,0.04738765202855947
LOC_Os01g03690,1.4719641720552759,9.675578061280979e-4
LOC_Os01g03750,-0.7959889926512999,0.008288746406087323
LOC_Os01g04050,0.9119976037071301,2.3986163091365242e-4
LOC_Os01g04230,-0.4866486180688252,0.03784487774712241
LOC_Os01g04800,-0.83747071512217,0.02358431082553651
LOC_Os01g05650,0.837632428864072,0.009712428107775735
LOC_Os01g07560,-0.5171126214092127,0.015844989033934734
LOC_Os01g08140,-0.7726017589859738,0.04940208785482937
LOC_Os01g08440,-1.3410952923079615,0.012533039790216733
LOC_Os01g08700,2.0235253030372484,8.212737926048865e-34
LOC_Os01g09220,1.3053122939029882,1.6602211846737427e-4
LOC_Os01g09280,1.1456784102776962,0.005574379542977445
LOC_Os01g09540,2.698737444068029,2.6054573404509334e-14
LOC_Os01g10040,-0.6862895539638497,0.02895273323775324
LOC_Os01g10490,-0.5285803697532647,0.04169265841889374
LOC_Os01g10850,-0.7918281052242369,9.12107468260719e-4
LOC_Os01g11650,1.0162273367262635,0.007069196590597965
LOC_Os01g12810,-1.7940562213136444,2.756480924762627e-15
LOC_Os01g12830,-0.5294769316938501,0.041136019742808755
LOC_Os01g13080,-0.5123091187695064,0.025707875289031255
LOC_Os01g13120,-0.5675112195760142,0.01817089028060991
LOC_Os01g13390,-1.1145043131018701,1.817976073606883e-6
LOC_Os01g14140,-0.5197463331974601,0.02907956315846269
LOC_Os01g15100,4.014139569308494,0.04962621778593683
LOC_Os01g15840,0.7896545806559006,0.017868690525865358
LOC_Os01g15900,-2.8468751694278263,1.7383419141450086e-17
LOC_Os01g16590,6.735823860662935,0.027880425206553344
LOC_Os01g17170,-0.6818791321931768,1.115296294345732e-4
LOC_Os01g17396,-5.5711457662993356,1.8979559648253285e-044
LOC_Os01g18630,1.3921458104407969,4.453974291238841e-10
LOC_Os01g18800,-1.048843224863294,2.957918261095011e-7
LOC_Os01g19740,2.3635924765452616,1.4880441585882311e-12
LOC_Os01g24500,3.116814024201237,0.0334249802381573
LOC_Os01g25740,1.5573478958311573,7.768760757203375e-4
LOC_Os01g27790,8.4796418319148,2.4201766419186756e-5
LOC_Os01g27800,7.443305642975451,0.002479833138783856
LOC_Os01g28134,3.5634336677711986,0.026165010137364223
LOC_Os01g28744,2.5677684872944866,8.041778073699009e-4
LOC_Os01g31690,-0.880115500793257,1.670229038573868e-6
LOC_Os01g35050,0.4709158091299954,0.01201627922393288
LOC_Os01g36660,-0.5328512688790693,0.027977721171600207
