,log2FoldChange,padj
LOC_Os01g01470,3.950537193037121,6.491126507861093e-4
LOC_Os01g01650,2.4782540234907735,2.0879683867374664e-7
LOC_Os01g02139,1.0225314026582533,0.010083284273688053
LOC_Os01g02150,0.8279166596073094,0.017868260664966724
LOC_Os01g03310,2.333445203090823,0.0049190245047399305
LOC_Os01g03320,3.299832137875699,0.03024185472240342
LOC_Os01g03340,1.9221708400951587,1.5181710209222694e-6
LOC_Os01g03360,2.600934582067102,6.572922152107055e-10
LOC_Os01g03390,1.615039856973114,5.9439614835261965e-5
LOC_Os01g03740,1.253131623277384,0.004277964048263254
LOC_Os01g03730,1.094723792609825,0.015746419856285453
LOC_Os01g04950,0.9340266872322062,0.016173812779887314
LOC_Os01g05870,1.0069698554228026,0.042695830130222406
LOC_Os01g06130,-0.834467169398714,0.0411826249502692
LOC_Os01g06310,1.8163348262588512,0.02093222501940112
LOC_Os01g06580,2.6070443028674997,0.0011868103580594917
LOC_Os01g07970,1.2421041868793463,1.5423734954424937e-5
LOC_Os01g08020,-0.751864173884087,0.004587066016051737
LOC_Os01g08380,2.295585464933562,0.017664467926511836
LOC_Os01g09665,-1.7391401615530042,0.0039199507525168415
LOC_Os01g09830,0.7955905186859177,0.038583894607259125
LOC_Os01g09870,1.7997718405360963,0.007144952621830049
LOC_Os01g10400,0.8709250886254545,0.0049190245047399305
LOC_Os01g10940,-11.265255490963838,1.8829134394381045e-11
LOC_Os01g11460,0.6532257501791874,0.0471512895262562
LOC_Os01g11650,1.0091711978664286,2.2825094330549352e-4
LOC_Os01g12070,1.5680458443130358,0.0065741010164188
LOC_Os01g12464,-0.7996520336937005,0.01363445524537033
LOC_Os01g12690,1.6324854803757858,0.04511612683083144
LOC_Os01g12740,3.015982128860191,0.004167180194780649
LOC_Os01g13690,1.0022871215332858,0.012171104820338088
LOC_Os01g14440,1.767834622821489,7.908269917891934e-4
LOC_Os01g15320,1.0306173469873927,0.008304315464804675
LOC_Os01g15740,9.055014882323091,3.878355318142261e-108
LOC_Os01g16200,5.017434528587109,6.369441707094301e-5
LOC_Os01g16980,3.0832157397814117,0.021240462683257046
LOC_Os01g17050,1.8172559433637685,5.9439614835261965e-5
LOC_Os01g17150,0.7208224479208826,0.035333380189292454
LOC_Os01g17390,0.6664921967887065,0.02108857074326127
LOC_Os01g18170,1.3377615222469392,0.013350848355571
LOC_Os01g19820,1.8851783759863694,2.4775186740353627e-17
LOC_Os01g19940,1.967662683794928,0.011295144190464585
LOC_Os01g21034,0.7311367625942969,0.04478561779005578
LOC_Os01g27210,1.1465332093082772,0.04267637869796079
LOC_Os01g28030,1.2439215271846045,7.046902443391787e-4
LOC_Os01g28500,3.2321884424262324,6.0187677994777086e-5
LOC_Os01g28810,2.5410870782688417,2.360760934342715e-5
LOC_Os01g29840,4.303739476464052,0.02189103758919936
LOC_Os01g34060,0.8294691603444255,4.4288411777720866e-4
LOC_Os01g34590,-0.9562191273902121,0.017909072085473442
LOC_Os01g36250,8.768583353990465,5.0069756041137875e-8
LOC_Os01g36830,-1.4100167953743037,0.0015258385159562916
LOC_Os01g38610,1.3963230312736423,0.016763322537546907
LOC_Os01g38980,1.3390773585853435,0.04618670522409762
LOC_Os01g39850,5.175373546869403,0.024175486092760694
LOC_Os01g40070,1.7145198889204158,3.156283696865693e-4
LOC_Os01g40480,0.7844499875274237,0.029996159424717155
LOC_Os01g40720,-1.391847550519308,0.0349280182403481
LOC_Os01g41550,0.6250080599835451,0.04339561253734065
LOC_Os01g42520,0.9077284782590854,0.027676633508621398
LOC_Os01g45700,0.8530943753052326,0.011580220653662295
LOC_Os01g46250,-1.0887535321945767,0.012116969605205962
LOC_Os01g46850,6.961398410685617,0.03784524063697357
LOC_Os01g47730,1.2899193673165401,0.025102666896343356
