treatment,control
SRR10423448,SRR10423449
SRR10423450,SRR10423451
SRR10423452,SRR10423453
SRR10423454,SRR10423455
SRR10423456,SRR10423457
SRR10423458,SRR10423459
SRR10423460,SRR10423461
SRR10423462,SRR10423463
SRR6336924,SRR6336925
DRR015048,DRR015049
DRR015050,DRR015051
DRR015052,DRR015053
DRR015054,DRR015055
SRR8746736,SRR8746737
SRR8746738,SRR8746739
SRR8746740,SRR8746741
SRR8746742,SRR8746743
SRR8746744,SRR8746745
SRR8746746,SRR8746747
SRR8746748,SRR8746749
SRR8746750,SRR8746751
SRR8746752,SRR8746753
ERR2286135,ERR2286136
ERR2286137,ERR2286138




